Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Fare Revenues per Unlinked Passenger Trip,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,Cost per Hour,Cost per Hour Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable
City of Columbus Transit,Columbus,NE,70214,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,2.18,,0.07,,85.54,,3,,33.20,,0.00,,"13,640",,"207,517",,"6,251",,"2,426",,0,,"23,894",
"Red Cliff Band of Lake Superior Chippewa, dba: Red Cliff (Miskwaabekong) Transit",Bayfield,WI,50013,Tribe,Reduced Reporter,55,Wisconsin Non-UZA,"2,782,206",5,DR,DO,5,0.56,,0.02,,64.12,,3,,25.06,,0.00,,"6,908",,"310,775",,"12,401",,"4,847",,0,,"57,890",
Seminole Nation Public Transit,Wewoka,OK,66158,Tribe,Reduced Reporter,40,Oklahoma Non-UZA,"1,994,607",5,DR,DO,5,0.00,,0.00,,69.37,,2,,28.29,,0.00,,0,,"599,228",,"21,185",,"8,638",,0,,"205,683",
"City of Kingman, dba: Kingman Area Regional Transit",Kingman,AZ,91075,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,DO,5,1.42,,0.10,,74.96,,5,,13.99,,0.00,,"110,736",,"1,087,160",,"77,708",,"14,504",,0,,"190,707",
Buffalo Senior Center Inc,Buffalo,WY,80151,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,5,1.49,,0.07,,38.84,,2,,21.31,,0.00,,"15,467",,"220,808",,"10,363",,"5,685",,0,,"43,859",
Zuni Pueblo,Zuni,NM,66242,Tribe,Reduced Reporter,35,New Mexico Non-UZA,"978,126",5,MB,DO,5,0.00,,0.00,,107.82,,2,,52.95,,0.00,,0,,"548,896",,"10,367",,"5,091",,0,,"107,333",
"City of La Porte, Indiana, dba: TransPorte",La Porte,IN,50162,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56656,"Michigan City--La Porte, IN--MI","71,367",5,DR,DO,5,2.91,,0.17,,59.16,,3,,17.26,,0.00,,"115,277",,"684,839",,"39,667",,"11,577",,0,,"116,999",
Rabun County,Clayton,GA,40904,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,1.70,,0.04,,55.38,,1,,43.37,,0.00,,"9,436",,"240,174",,"5,538",,"4,337",,0,,"53,341",
Talbot County Transit,Talbotton,GA,41104,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,0.51,,0.01,,57.21,,1,,62.89,,0.00,,"2,892",,"359,564",,"5,717",,"6,285",,0,,"126,287",
"Orange County First Chance Center , dba: Orange County Transit",Paoli,IN,50389,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,5,1.76,,0.04,,65.27,,2,,42.30,,0.00,,"15,682",,"377,045",,"8,914",,"5,777",,0,,"59,548",
Swain County  Focal Point on Aging Inc,Bryson City,NC,41066,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,0.88,,0.02,,67.00,,1,,49.40,,0.00,,"6,664",,"375,257",,"7,596",,"5,601",,0,,"78,136",
Washington County,Plymouth,NC,40959,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,0.10,,0.00,,71.95,,1,,58.55,,0.00,,630,,"383,300",,"6,547",,"5,327",,0,,"100,163",
Red River Council on Aging,Coushatta,LA,60154,Area Agency on Aging,Rural Reporter,,,,5,DR,DO,5,0.90,,0.04,,50.83,,2,,24.79,,0.00,,"5,734",,"157,112",,"6,337",,"3,091",,0,,"62,968",
"Central Mississippi, Incorporated",Winona,MS,44979,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,5,0.00,,0.00,,79.20,,1,,83.11,,0.00,,0,,"407,642",,"4,905",,"5,147",,0,,"158,965",
City of Ripon,Ripon,WI,50290,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,PT,5,3.29,,0.30,,29.11,,3,,10.99,,0.00,,"101,225",,"338,549",,"30,810",,"11,630",,0,,"96,177",
City of Shawano,Shawano,WI,50220,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,PT,5,5.92,,0.56,,28.48,,3,,10.50,,0.00,,"190,598",,"338,324",,"32,209",,"11,879",,0,,"126,034",
Hazen Busing Project,Hazen,ND,80290,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,2.09,,0.14,,26.23,,2,,14.74,,0.00,,"21,270",,"150,188",,"10,188",,"5,725",,0,,"31,317",
"Town of Monroe , dba: Monroe Dial A Bus",Monroe,NY,20183,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,45443,"Kiryas Joel, NY","71,582",5,DR,DO,5,1.36,,0.03,,102.28,,2,,46.96,,0.00,,"18,397",,"635,877",,"13,542",,"6,217",,0,,"62,115",
Town of Wallkill,Middletown,NY,20227,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56899,"Middletown, NY","61,516",5,DR,DO,5,1.23,,0.05,,68.09,,3,,26.68,,0.00,,"26,002",,"565,708",,"21,200",,"8,308",,0,,"91,127",
"Prowers County, dba: Prowers Area Transit",Lamar,CO,80115,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,0.73,,0.02,,63.14,,2,,29.17,,0.00,,"12,683",,"507,112",,"17,385",,"8,032",,0,,"56,407",
City of Baraboo,Baraboo,WI,50318,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,PT,5,4.72,,0.28,,30.22,,2,,16.66,,0.00,,"170,352",,"601,721",,"36,120",,"19,911",,0,,"167,544",
Pioneer Resources - Muskegon,Muskegon,MI,55323,Private-Non-Profit Corporation,Rural Reporter,60841,"Muskegon--Norton Shores, MI","166,414",5,DR,DO,5,0.00,,0.00,,64.74,,3,,24.43,,0.00,,0,,"177,442",,"7,262",,"2,741",,0,,"38,225",
Los Angeles County Department of Public Works - South Whittier,Alhambra,CA,90276,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",5,MB,PT,5,0.16,,0.01,,71.68,,7,,11.00,,0.00,,"16,996",,"1,181,624",,"107,423",,"16,485",,0,,"196,000",
Belding-Dial-A-Ride,Belding,MI,50398,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,1.60,,0.13,,45.53,,4,,11.93,,0.00,,"37,439",,"278,886",,"23,385",,"6,125",,0,,"54,375",
"Area IV Agency on Aging and Community Action Programs , dba: Tippecanoe County Transit",Lafayette,IN,50365,Area Agency on Aging,Rural Reporter,,,,5,DR,DO,5,5.20,,0.02,,159.46,,1,,226.77,,0.00,,"3,767",,"164,408",,725,,"1,031",,0,,"12,869",
Sangamon County,Springfield,IL,55307,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,2.47,,0.02,,230.12,,1,,153.66,,0.00,,"10,939",,"679,786",,"4,424",,"2,954",,0,,"72,910",
City of Corning,Corning,NY,20941,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,PT,5,1.09,,0.11,,53.41,,5,,9.84,,0.00,,"73,508",,"661,282",,"67,217",,"12,381",,0,,"156,904",
"Stratton Industrial Commission, dba: Hitch & Hay Public Transit",Stratton,NE,70100,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,5,9.91,,0.16,,46.63,,1,,63.24,,0.00,,"41,264",,"263,332",,"4,164",,"5,647",,0,,"146,627",
"White County Council on Aging , dba: White County Public Transit",Monticello,IN,50444,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,5,1.53,,0.05,,58.40,,2,,30.57,,0.00,,"15,073",,"301,347",,"9,857",,"5,160",,0,,"50,355",
Washakie County Senior Citizens Center,Worland,WY,88224,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,5,1.27,,0.06,,36.03,,2,,19.91,,0.00,,"8,271",,"129,328",,"6,496",,"3,589",,0,,"38,297",
City of DeRidder/Beauregard Transit,Deridder,LA,60164,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,4.96,,0.12,,69.38,,2,,41.11,,0.00,,"31,821",,"263,793",,"6,417",,"3,802",,0,,"67,314",
City of Alliance,Alliance,NE,70107,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,0.50,,0.04,,115.59,,9,,12.18,,0.00,,"14,820",,"360,881",,"29,633",,"3,122",,0,,"63,835",
"Sault Sainte Marie, City of",Sault Sainte Marie,MI,50487,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,1.54,,0.07,,48.49,,2,,23.54,,0.00,,"33,276",,"508,521",,"21,607",,"10,487",,0,,"113,424",
Crisp County Transit,Cordele,GA,40912,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,PT,5,0.55,,0.02,,70.54,,2,,32.99,,0.00,,"8,054",,"483,099",,"14,644",,"6,849",,0,,"109,885",
Chase County,Imperial,NE,70128,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,1.89,,0.12,,33.66,,2,,15.18,,0.00,,"28,478",,"229,399",,"15,107",,"6,816",,0,,"71,972",
RTS Seneca,Rochester,NY,20938,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,5,MB,DO,5,0.93,,0.04,,90.21,,4,,24.33,,0.00,,"35,556",,"928,777",,"38,168",,"10,296",,0,,"168,866",
Avera Creighton Hospital,Yankton,SD,70216,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,5,47.18,,0.42,,72.66,,1,,111.51,,0.00,,"166,027",,"392,419",,"3,519",,"5,401",,0,,"143,470",
Hyde County Private Non-Profit Transp. Corp. Inc.,Swanquarter,NC,41038,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,5,0.58,,0.02,,57.11,,2,,27.03,,0.00,,"7,188",,"336,560",,"12,452",,"5,893",,0,,"138,659",
White Mountain Apache Tribe,Whiteriver,AZ,99334,Tribe,Reduced Reporter,4,Arizona Non-UZA,"1,296,856",5,MB,DO,5,0.00,,0.00,,145.01,,2,,60.99,,0.00,,0,,"348,017",,"5,706",,"2,400",,0,,"78,319",
Pratt County RSVP,Pratt,KS,70141,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,0.28,,0.08,,17.58,,5,,3.56,,0.00,,"8,185",,"104,480",,"29,376",,"5,942",,0,,"82,222",
Fallon County,Baker,MT,88217,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,1.06,,0.04,,50.61,,2,,24.51,,0.00,,"5,901",,"136,957",,"5,587",,"2,706",,0,,"35,786",
Kanabec County,Mora,MN,50297,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,5,DR,DO,5,4.23,,0.17,,95.65,,4,,24.81,,0.00,,"106,226",,"622,698",,"25,099",,"6,510",,0,,"97,256",
Dare County,Manteo,NC,41045,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,2.74,,0.04,,47.50,,1,,64.09,,0.00,,"22,685",,"531,473",,"8,293",,"11,190",,0,,"194,077",
City of Reedsburg,Reedsburg,WI,50490,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,PT,5,5.37,,0.53,,29.64,,3,,10.18,,0.00,,"196,958",,"373,622",,"36,693",,"12,605",,0,,"122,067",
Northeast Kansas Area Agency on Aging,Hiawatha,KS,77079,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,5,4.38,,0.07,,71.69,,1,,64.95,,0.00,,"28,568",,"423,741",,"6,524",,"5,911",,0,,"86,816",
"County of Siskiyou, dba: Siskiyou County Transit",Yreka,CA,91048,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,DO,5,0.00,,0.00,,188.01,,3,,69.09,,0.00,,0,,"1,932,542",,"27,970",,"10,279",,0,,"226,372",
Ben Hill,Fitzgerald,GA,44937,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,PT,5,1.35,,0.03,,68.60,,2,,45.29,,0.00,,"13,950",,"466,586",,"10,302",,"6,802",,0,,"131,614",
"Marshall, City of",Marshall,MI,50265,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,5,1.71,,0.07,,55.81,,2,,24.59,,0.00,,"32,239",,"463,026",,"18,833",,"8,296",,0,,"81,382",
City of South Padre Island,South Padre Island,TX,60173,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,DO,5,0.00,,0.00,,89.45,,18,,4.91,,0.00,,0,,"1,823,699",,"371,430",,"20,387",,0,,"352,042",
"City of Ridgecrest, dba: Ridgerunner",Ridgecrest,CA,91006,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,4,6.25,,0.03,,"1,283.97",,5,,237.37,,0.00,,"24,541",,"932,161",,"3,927",,726,,0,,"9,951",
"City of Middletown, dba: Middletown Transit System",Middletown,OH,50019,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56926,"Middletown, OH","93,608",5,MB,DO,4,0.00,W,0.00,,71.04,,12,W,5.71,W,0.00,,0,,"971,583",,"170,184",W,"13,677",,0,,"197,338",
Scotland County,Laurinburg,NC,41028,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,4,0.00,,0.00,,39.84,,2,,24.88,,0.00,,0,,"334,316",,"13,437",,"8,391",,0,,"104,714",
Confederated Tribes and Bands of The Yakama Nation,Toppenish,WA,00111,Tribe,Reduced Reporter,53,Washington Non-UZA,"1,895,776",5,MB,DO,4,0.00,,0.00,,142.45,,2,,72.37,,0.00,,0,,"953,708",,"13,178",,"6,695",,0,,"188,570",
Yurok Tribe,Klamath,CA,99262,Tribe,Reduced Reporter,6,California Non-UZA,"4,357,850",5,DR,DO,4,2.69,,0.03,,407.03,,4,,97.62,,0.00,,"9,439",,"343,123",,"3,515",,843,,0,,"13,593",
Confederated Tribes of the Colville Indian Reservation,Nespelem,WA,00004,Tribe,Reduced Reporter,53,Washington Non-UZA,"1,895,776",5,MB,DO,4,0.00,,0.00,,152.52,,2,,98.70,,0.00,,0,,"292,835",,"2,967",,"1,920",,0,,"56,574",
"Bent County, dba: Bent County Transit",Las Animas,CO,88229,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,DO,4,0.60,,0.04,,79.49,,5,,16.67,,0.00,,"12,185",,"340,992",,"20,450",,"4,290",,0,,"158,529",
"Town of Warwick , dba: Warwick Dial A Bus",Warwick,NY,20214,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,36,New York Non-UZA,"3,425,270",5,DR,DO,4,1.28,,0.02,,126.78,,2,,52.50,,0.00,,"16,842",,"691,458",,"13,170",,"5,454",,0,,"80,847",
City of Maywood,Maywood,CA,90284,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",5,DR,PT,4,0.00,,0.00,,115.06,,2,,60.24,,0.00,,0,,"166,380",,"2,762",,"1,446",,0,,"14,662",
"City of Henderson, dba: Henderson Area Rapid Transit",Henderson,KY,50107,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,21,Kentucky Non-UZA,"2,626,585",5,MB,DO,3,0.28,,0.01,,106.87,,6,,19.14,,0.00,,"13,763",,"954,523",,"49,870",,"8,932",,0,,"128,063",
"Town of Miami , dba: Cobre Valley Community Transit",Miami,AZ,91069,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,DO,3,0.92,,0.02,,56.13,,1,,54.16,,0.00,,"5,436",,"320,706",,"5,921",,"5,714",,0,,"62,001",
Lower Columbia Community Action Council,Longview,WA,00368,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,3,0.00,,0.00,,282.85,,1,,478.79,,0.00,,0,,"91,927",,192,,325,,0,,"9,723",
"City of Salisbury , dba: Salisbury Transit",Salisbury,NC,40233,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,19558,"Concord, NC","278,612",5,MB,DO,3,0.36,,0.03,,101.99,,9,,11.65,,0.00,,"31,217",,"1,012,250",,"86,900",,"9,925",,0,,"130,290",
City of Bell Gardens,,CA,90253,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",5,MB,PT,3,0.30,,0.06,,60.73,,12,,5.26,,0.00,,"32,046",,"556,894",,"105,812",,"9,170",,0,,"91,237",
City of Solvang,Solvang,CA,91028,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,PT,3,1.21,,0.06,,79.07,,4,,21.66,,0.00,,"44,461",,"792,958",,"36,604",,"10,028",,0,,"169,890",
City of Liberal,Liberal,KS,70227,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,DO,3,0.55,,0.03,,39.54,,2,,21.70,,0.00,,"9,373",,"368,806",,"16,998",,"9,328",,0,,"127,857",
"VNA Home Healthcare, Hospice & Community Service",Keene,NH,10159,Private-Non-Profit Corporation,Rural Reporter,33,New Hampshire Non-UZA,"768,345",5,MB,DO,3,0.45,,0.02,,87.90,,4,,20.93,,0.00,,"8,659",,"406,382",,"19,419",,"4,623",,0,,"55,917",
Municipality of Hormigueros,Hormigueros,PR,40121,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,55738,"Mayagüez, PR","91,583",5,MB,DO,3,0.00,,0.00,,26.14,,3,,8.56,,0.00,,0,,"73,199",,"8,551",,"2,800",,0,,"17,530",
Montgomery County,Fonda,NY,20952,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,CB,PT,3,4.86,,0.13,,372.08,,10,,38.52,,0.00,,"45,965",,"364,266",,"9,456",,979,,0,,"42,999",
Municipality of Añasco,Anasco,PR,40269,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,631,"Aguadilla--Isabela--San Sebastián, PR","232,573",5,MB,DO,3,0.00,,0.00,,17.50,,1,,16.08,,0.00,,0,,"93,921",,"5,842",,"5,366",,0,,"24,666",
Yankton Sioux Tribe,Wagner,SD,88194,Tribe,Reduced Reporter,46,South Dakota Non-UZA,"599,629",5,MB,DO,3,0.60,,0.02,,36.92,,1,,38.67,,0.00,,"2,377",,"153,349",,"3,966",,"4,153",,0,,"110,149",
SMART Transit,Moscow,ID,00347,Private-Non-Profit Corporation,Rural Reporter,,,,5,DR,DO,3,1.85,,0.06,,130.99,,4,,31.67,,0.00,,"18,944",,"323,422",,"10,213",,"2,469",,0,,"26,436",
Yankton Sioux Tribe,Wagner,SD,88194,Tribe,Reduced Reporter,46,South Dakota Non-UZA,"599,629",5,DR,DO,2,0.89,,0.00,,253.03,,1,,436.37,,0.00,,481,,"236,075",,541,,933,,0,,"36,587",
Lassen Transit Service Agency,Susanville,CA,91098,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,PT,2,1.19,,0.09,,100.95,,8,,13.06,,0.00,,"44,024",,"482,043",,"36,897",,"4,775",,0,,"74,554",
"City of Henderson, dba: Henderson Area Rapid Transit",Henderson,KY,50107,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,21,Kentucky Non-UZA,"2,626,585",5,DR,DO,2,0.49,,0.01,,61.65,,2,,33.11,,0.00,,"4,111",,"279,771",,"8,449",,"4,538",,0,,"41,046",
Montgomery County,Fonda,NY,20952,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,PT,2,1.31,,0.02,,161.84,,3,,59.80,,0.00,,"6,279",,"285,971",,"4,782",,"1,767",,0,,"34,044",
"Town of Miami , dba: Cobre Valley Community Transit",Miami,AZ,91069,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,2,2.31,,0.05,,69.27,,1,,46.95,,0.00,,"6,851",,"139,102",,"2,963",,"2,008",,0,,"12,356",
Lower Columbia Community Action Council,Longview,WA,00368,Private-Non-Profit Corporation,Rural Reporter,,,,5,CB,DO,2,1.93,,0.03,,109.91,,2,,55.99,,0.00,,"12,804",,"370,515",,"6,618",,"3,371",,0,,"117,784",
"City of Salisbury , dba: Salisbury Transit",Salisbury,NC,40233,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,19558,"Concord, NC","278,612",5,DR,DO,2,1.60,,0.09,,31.93,,2,,17.04,,0.00,,"11,795",,"125,363",,"7,359",,"3,926",,0,,"42,476",
SMART Transit,Moscow,ID,00347,Private-Non-Profit Corporation,Rural Reporter,,,,5,MB,DO,2,0.00,,0.00,,98.00,,15,,6.59,,0.00,,0,,"554,287",,"84,122",,"5,656",,0,,"59,256",
City of Bell Gardens,,CA,90253,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",5,DR,PT,2,0.26,,0.02,,60.20,,4,,15.33,,0.00,,"3,873",,"224,348",,"14,633",,"3,727",,0,,"25,435",
City of Solvang,Solvang,CA,91028,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,PT,2,1.84,,0.03,,67.71,,1,,73.47,,0.00,,"4,314",,"171,850",,"2,339",,"2,538",,0,,"15,344",
City of Liberal,Liberal,KS,70227,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,2,0.88,,0.04,,66.36,,3,,24.94,,0.00,,"5,906",,"168,029",,"6,736",,"2,532",,0,,"29,195",
Lassen Transit Service Agency,Susanville,CA,91098,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,CB,PT,2,3.63,,0.05,,175.02,,3,,67.08,,0.00,,"33,988",,"627,289",,"9,352",,"3,584",,0,,"129,807",
"VNA Home Healthcare, Hospice & Community Service",Keene,NH,10159,Private-Non-Profit Corporation,Rural Reporter,33,New Hampshire Non-UZA,"768,345",5,DR,DO,2,1.21,,0.08,,43.79,,3,,15.74,,0.00,,"6,692",,"87,412",,"5,552",,"1,996",,0,,"20,450",
Municipality of Hormigueros,Hormigueros,PR,40121,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,55738,"Mayagüez, PR","91,583",5,DR,DO,2,0.00,,0.00,,49.10,,1,,33.20,,0.00,,0,,"44,486",,"1,340",,906,,0,,"11,804",
Municipality of Añasco,Anasco,PR,40269,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,631,"Aguadilla--Isabela--San Sebastián, PR","232,573",5,DR,DO,2,0.00,,0.00,,13.17,,0,,66.07,,0.00,,0,,"47,109",,713,,"3,577",,0,,"16,271",
Yurok Tribe,Klamath,CA,99262,Tribe,Reduced Reporter,6,California Non-UZA,"4,357,850",5,FB,DO,1,0.00,,0.00,,"2,384.12",,3,,866.95,,0.00,,0,,"19,073",,22,,8,,0,,64,
"Town of Warwick , dba: Warwick Dial A Bus",Warwick,NY,20214,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,36,New York Non-UZA,"3,425,270",5,MB,DO,1,1.08,,0.03,,136.24,,4,,37.03,,0.00,,"9,619",,"328,346",,"8,866",,"2,410",,0,,"25,989",
"City of Middletown, dba: Middletown Transit System",Middletown,OH,50019,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,56926,"Middletown, OH","93,608",5,DR,DO,1,0.04,,0.00,,79.57,,3,,26.30,,0.00,,242,,"142,745",,"5,428",,"1,794",,0,,"14,256",
City of Maywood,Maywood,CA,90284,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",5,MB,PT,1,0.00,,0.00,,97.67,,27,,3.59,,0.00,,0,,"277,767",,"77,362",,"2,844",,0,,"31,380",
Lassen Transit Service Agency,Susanville,CA,91098,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,PT,1,6.63,,0.58,,224.39,,20,,11.48,,0.00,,"79,402",,"137,550",,"11,981",,613,,0,,"11,777",
Confederated Tribes and Bands of The Yakama Nation,Toppenish,WA,00111,Tribe,Reduced Reporter,53,Washington Non-UZA,"1,895,776",5,DR,DO,1,0.00,,0.00,,236.43,,2,,135.50,,0.00,,0,,"173,300",,"1,279",,733,,0,,"18,019",
"City of Ridgecrest, dba: Ridgerunner",Ridgecrest,CA,91006,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,DO,1,3.32,,0.01,,453.84,,1,,403.85,,0.00,,"3,496",,"425,252",,"1,053",,937,,0,,"18,896",
Confederated Tribes of the Colville Indian Reservation,Nespelem,WA,00004,Tribe,Reduced Reporter,53,Washington Non-UZA,"1,895,776",5,FB,DO,1,0.00,,0.00,,215.81,,25,,8.72,,0.00,,0,,"1,158,882",,"132,972",,"5,370",,0,,"20,048",
Scotland County,Laurinburg,NC,41028,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,MB,DO,1,0.00,,0.00,,40.21,,3,,12.56,,0.00,,0,,"68,473",,"5,450",,"1,703",,0,,"24,870",
"Bent County, dba: Bent County Transit",Las Animas,CO,88229,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,DR,DO,1,0.19,,0.03,,25.29,,4,,6.13,,0.00,,"1,544",,"50,258",,"8,196",,"1,987",,0,,"15,144",
Lac du Flambeau Band of Lake Superior Chippewa Indians,Lac Du Flambeau,WI,55300,Tribe,Reduced Reporter,55,Wisconsin Non-UZA,"2,782,206",5,MB,DO,0,0.00,,0.00,,0.00,,0,,0.00,,0.00,,0,,0,,0,,0,,0,,0,
Yavapai-Apache Nation,Camp Verde,AZ,99328,Tribe,Reduced Reporter,4,Arizona Non-UZA,"1,296,856",5,DR,DO,0,0.00,,0.00,,0.00,,0,,0.00,,0.00,,0,,0,,0,,0,,0,,0,
County of Clark,Neillsville,WI,55327,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,DR,TX,4,3.76,,0.15,,33.02,,1,,25.95,,0.00,,"46,316",,"319,189",,"12,302",,"9,668",,0,,"112,958",
County of Kenosha,Kenosha,WI,50432,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,76474,"Round Lake Beach--McHenry--Grayslake, IL--WI","261,835",4,DR,PT,4,2.63,,0.07,,45.02,,1,,35.17,,0.00,,"20,809",,"277,878",,"7,902",,"6,173",,0,,"123,756",
"City of New Castle, dba: New Castle Transit",New Castle,IN,50358,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,DR,DO,4,0.09,,0.00,,115.51,,5,,25.65,,0.00,,"2,815",,"828,215",,"32,285",,"7,170",,0,,"38,981",
"Shelby Senior Services , dba: ShelbyGo Public Transit",Shelbyville,IN,55664,Private-Non-Profit Corporation,Rural Reporter,,,,4,DR,DO,4,3.40,,0.10,,47.37,,1,,34.50,,0.00,,"28,213",,"286,139",,"8,295",,"6,040",,0,,"41,749",
City of Monterey Park,Montery Park,CA,90286,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",4,DR,DO,4,0.00,,0.00,,298.52,,3,,106.14,,0.00,,0,,"617,634",,"5,819",,"2,069",,0,,"16,811",
