Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Maintenance Facility (Service and Inspection),Heavy Maintenance & Overhaul (Backshop),General Purpose Maintenance Facility/Depot,Vehicle Washing Facility,Vehicle Blow-Down Facility,Vehicle Fueling Facility,Vehicle Testing Facility,Maintenance Facilities,Administrative Office / Sales Office,Revenue Collection Facility,Combined Administrative and Maintenance Facility,"Other, Administrative & Maintenance",Administrative and Other Non-Passenger Facilities,Bus Transfer Center,Elevated Fixed Guideway Station,At-Grade Fixed Guideway Station,Underground Fixed Guideway Station,Simple At-Grade Platform Station,Exclusive Grade-Separated Platform Station,Ferryboat Terminal,Passenger Stations and Terminals,Surface Parking Lot,Parking Structure,"Other, Passenger or Parking",Parking and Other Passenger Facilities,Total Facilities
Modoc Transportation Agency,Alturas,CA,91008,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
San Benito County LTA,Hollister,CA,91009,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Mountain Area Regional Transit Authority, dba: Mountain Transit",Big Bear Lake,CA,91012,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,29,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"City of Rio Vista, dba: Rio Vista Delta Breeze",Rio Vista,CA,91014,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Arcata,Arcata,CA,91018,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"City of Needles, dba: Needles Area Transit",Needles,CA,91020,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Arvin,Arvin,CA,91027,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
City of Solvang,Solvang,CA,91028,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Auburn,Auburn,CA,91032,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Trinity County,Weaverville,CA,91035,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Humboldt Transit Authority,Eureka,CA,91036,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,14,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Sierra County Transportation Commission,Downieville,CA,91038,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Dixon,Dixon,CA,91041,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Guadalupe,Guadalupe,CA,91043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Mendocino Transit Authority,Ukiah,CA,91047,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,26,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"County of Siskiyou, dba: Siskiyou County Transit",Yreka,CA,91048,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3
Lake Transit Authority,Lower Lake,CA,91053,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Tulare County Area Transit,Visalia,CA,91055,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuolumne County Transit,Sonora,CA,91057,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
City of Ojai,Ojai,CA,91058,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Kern Regional Transit,Bakersfield,CA,91059,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,40,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Eastern Sierra Transit Authority,Bishop,CA,91062,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,37,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Taft,Taft,CA,91066,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Yosemite Area Regional Transportation System,Merced,CA,91070,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
City of Chowchilla,Chowchilla,CA,91071,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Tehachapi,Tehachapi,CA,91074,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Escalon,Escalon,CA,91078,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
Mariposa County Transit,Mariposa,CA,91082,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Glenn Transit Service,Willows,CA,91088,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tehama County,Gerber,CA,91089,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,14,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,3
Morongo Basin Transit Authority,Joshua Tree,CA,91090,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,13,0,0,0,1,0,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
"City of Eureka , dba: Eureka Transit Service",Eureka,CA,91093,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,9,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Nevada County Transit Services,Nevada City,CA,91095,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,17,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Redwood Coast Transit Authority,Crescent City,CA,91097,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Lassen Transit Service Agency,Susanville,CA,91098,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,5,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Town of Truckee,Truckee,CA,91101,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
City of McFarland,Mcfarland,CA,91110,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of California City,California City,CA,91111,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
Colusa County Transit Agency,Colusa,CA,91112,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Alpine County Local Transportation Commission,Markleeville,CA,91116,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,1,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Plumas County Transportation Commission,Quincy,CA,91119,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Shafter,Shafter,CA,91120,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,2,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Wasco, City of",Wasco,CA,99426,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
County of Shasta Department of Public Works,Redding,CA,99438,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,73774,"Redding, CA","120,602",0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Calaveras Transit Agency,San Andreas,CA,99442,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,11,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Palo Verde Valley Transit Agency,Blythe,CA,99454,Independent Public Agency or Authority of Transit Service,Rural Reporter,,,,10,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4
County of Kaua'i - Transportation Agency,Lihue,HI,90237,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,43615,"Kahului, HI","55,934",40,1,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,4
"County of Hawaii Mass Transit Agency, dba: County of Hawai'i Mass Transit Agency",Hilo,HI,91080,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,77,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,4,0,0,4,6
Lincoln County Transportation,Pioche,NV,91022,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Humboldt County, dba: Senior Citizens of Humboldt County, Inc",Winnemucca,NV,91023,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Nye County Senior Nutrition,Tonopah,NV,91029,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,9,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Elko County,Elko,NV,91061,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,10,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Douglas Area Rural Transit,Minden,NV,91064,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,20,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
SNTC-Laughlin,Laughlin,NV,91072,Private-Non-Profit Corporation,Rural Reporter,11431,"Bullhead City, AZ--NV","54,396",12,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
White Pine - Ely Bus,Ely,NV,91099,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,3,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
SNTC - Boulder City,Laughlin,NV,91100,Private-Non-Profit Corporation,Rural Reporter,,,,7,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Churchill Area Regional Transit,Fallon,NV,91103,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,9,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
SNTC-Mesquite,Laughlin,NV,91107,Private-Non-Profit Corporation,Rural Reporter,,,,6,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Lyon County Human Services,Yerington,NV,91113,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,,,,10,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Pahrump Senior Center, Inc.",Pahrump,NV,99430,Private-Non-Profit Corporation,Rural Reporter,,,,12,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Government of Guam-Guam Regional Transit Authority, dba: Guam Public Transit System",Upper Tumon,GU,90999,State Government Unit or Department of Transportation,Rural Reporter,66,Guam Non-UZA,"25,672",14,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
American Samoa Government Dept. of Public Works,Pago Pago,AS,99434,State Government Unit or Department of Transportation,Rural Reporter,,,,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
COTA,Saipan,MP,91045,State Government Unit or Department of Transportation,Rural Reporter,,,,8,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Idaho Transportation Department,Boise,ID,0R01,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Oregon Department of Transportation,Salem,OR,0R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Washington State Department of Transportation,Olympia,WA,0R03,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Alaska Department of Transportation,Juneau,AK,0R04,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Connecticut Department of Transportation,Newington,CT,1R01,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Massachusetts Department of Transportation,Boston,MA,1R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Maine Department of Transportation,Augusta,ME,1R03,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
New Hampshire Department of Transportation,Concord,NH,1R04,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Vermont Agency of Transportation,Barre,VT,1R06,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Rhode Island Public Transit Authority,Providence,RI,1R07,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
NJ Transit,Newark,NJ,2R01,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
New York Department of Transportation,Albany,NY,2R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Delaware Transit Corporation,Dover,DE,3R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Maryland Department of Transportation,Baltimore,MD,3R03,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Pennsylvania Department of Transportation,Harrisburg,PA,3R04,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
West Virginia Department of Transportation,Charleston,WV,3R05,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Virginia Department of Rail and Public Transportation,Richmond,VA,3R06,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Alabama Department of Transportation,Montgomery,AL,4R01,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Florida Department of Transportation,Tallahassee,FL,4R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Georgia Department of Transportation,Atlanta,GA,4R03,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Kentucky Transportation Cabinet,Frankfort,KY,4R04,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Mississippi Department of Transportation,Jackson,MS,4R05,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
North Carolina Department of Transportation,Raleigh,NC,4R06,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
South Carolina Department of Transportation,Columbia,SC,4R07,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Tennessee Department of Transportation,Nashville,TN,4R08,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Puerto Rico Highway and Transportation Authority,San Juan,PR,4R09,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Illinois Department of Transportation, dba: Office of Intermodal Project Implementation",Springfield,IL,5R01,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Indiana Department of Transportation,Indianapolis,IN,5R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Michigan Department of Transportation,Lansing,MI,5R03,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Minnesota Department of Transportation,Saint Paul,MN,5R04,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Ohio Department of Transportation,Columbus,OH,5R05,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Wisconsin Department of Transportation,Madison,WI,5R06,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Arkansas Department of Transportation (ARDOT),Little Rock,AR,6R01,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Louisiana Department of Transportation,Baton Rouge,LA,6R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
New Mexico Department of Transportation,Santa Fe,NM,6R03,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Oklahoma Department of Transportation,Oklahoma City,OK,6R04,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Texas Department of Transportation,Austin,TX,6R05,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Iowa Department of Transportation,Ames,IA,7R01,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Kansas Department of Transportation,Topeka,KS,7R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Missouri Department of Transportation,Jefferson City,MO,7R03,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Nebraska Department of Transportation,Lincoln,NE,7R04,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Colorado Department of Transportation,Denver,CO,8R01,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Montana Department of Transportation,Helena,MT,8R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
North Dakota Department of Transportation,Bismarck,ND,8R03,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
South Dakota Department of Transportation,Pierre,SD,8R04,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Wyoming Department of Transportation,Cheyenne,WY,8R05,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Utah Department of Transportation,Salt Lake City,UT,8R06,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Arizona Department of Transportation,Phoenix,AZ,9R01,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
California Department of Transportation,Sacramento,CA,9R02,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Hawaii Department of Transportation,Honolulu,HI,9R03,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Nevada Department of Transportation,Carson City,NV,9R04,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Government of Guam - Guam Regional Transit Authority,Upper Tumon,GU,9R05,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
American Samoa Department of Public Works,Pago Pago,AS,9R06,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Northern Marianas - Commonwealth Office of Transit Authority,Saipan,MP,9R08,,State Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Stateline Mass Transit District,Rockton,IL,50212,Independent Public Agency or Authority of Transit Service,Separate Service,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Mesquite,Mesquite,TX,60070,"City, County or Local Government Unit or Department of Transportation",Separate Service,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Poughkeepsie,Poughkeepsie,NY,20009,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
County of Howard,Ellicott City,MD,30048,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3
Northeast Transportation Services,Fort Worth,TX,66344,Independent Public Agency or Authority of Transit Service,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Lincoln,Lincoln,CA,90235,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
City of Moscow,Moscow,ID,00288,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Valley Vista Care Corporation,Saint Maries,ID,00342,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
City of Victor,Victor,ID,00369,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Franklin County Medical Center,Preston,ID,00385,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Boise Basin Senior Center,Idaho City,ID,00392,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Oneida County Hospital,Malad City,ID,00422,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Mackay Senior Center,Mackay,ID,00423,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Golden Year Senior Center,Shoshone,ID,00424,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Fremont County Senior Center,St. Anthony,ID,00425,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Filer Senior Center,Filer,ID,00426,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Development Workshop, Inc.",Idaho Falls,ID,00427,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
University of Idaho,Moscow,ID,00429,University,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Witco, Inc.",Caldwell,ID,00430,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Three Island Senior Citizens Center, Inc.",Glenns Ferry,ID,00432,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Tesh, Inc.",Coeur D'alene,ID,00433,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
St. Mark's Catholic Community,Boise,ID,00434,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Payette Senior Center,Payette,ID,00435,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Parma Senior Center,Parma,ID,00436,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Mountain Home Senior Center,Mountain Home,ID,00437,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Minidoka Memorial Hospital,Rupert,ID,00438,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Metro Community Transportation,Caldwell,ID,00439,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Weiser Senior Center,Weiser,ID,00440,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Rimrock Senior Center,Grand View,ID,00441,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
New Plymouth Senior Center,New Plymouth,ID,00442,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
New Meadows Senior Center,New Meadows,ID,00443,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Melba Valley Senior Center,Melba,ID,00444,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
McCall Senior Center,Mccall,ID,00445,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Gem County Senior Center,Emmett,ID,00447,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Council Senior Center,Council,ID,00448,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Cascade Senior Center,Cascade,ID,00449,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Cambridge Senior Center,Cambridge,ID,00450,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Boise Good Samaritan Housing, Inc",Boise,ID,00451,Private-Non-Profit Corporation,Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
"Blaine County Seniors Council, dba: The Senior Connection",Hailey,ID,00452,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
Bear Lake County Memorial Hospital,Montpelier,ID,00453,"City, County or Local Government Unit or Department of Transportation",Reduced Asset Reporter,,,,0,,,,,,,,0,,,,,0,,,,,,,,0,,,,0,0
