Agency,Number of Operating Fleets,Ridership,Service Area Population,Service Area Sq Miles,Primary UZA Area Sq Miles,Diesel (gal),Gasoline (gal),Liquefied Petroleum Gas (gal),Compressed Natural Gas (gal),Bio Diesel (gal),Other Fuel (gal/gal equivalent),Electric Propulsion (kWh),Electric Battery (kWh),Total Diesel (gal),Total kWh,NTD ID,City,State,UZA Name,Total Operating Hours,Total Employees
Pottawatomie County,2,0,,,,,,,,,,,,,,,,,,,
Powder River County,6,0,749350.0,414.0,,,,,,,,,,,,,,,,,
Powell County Public Transportation,4,0,,,,,,,,,,,,,,,,,,,
"Powell Senior Citizens Ago-Go, Inc.",3,0,,,,,,,,,,,,,,,,,,,
Prairie Band Potawatomi Nation,7,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
"Prairie Five CAC, Inc.",58,0,,,,,,,,,,,,,,,,,,,
Pratt County RSVP,5,0,,,,,,,,,,,,,,,,,,,
"Preston County Sr. Cit, Inc. , dba: Buckwheat Express",40,0,,,,,,,,,,,,,,,,,,,
"Prince George's County, Maryland, dba: Prince George's County Transit",186,3590790,967201.0,487.0,1294.51,845985.0,93432.0,14777.0,0.0,0.0,0.0,0.0,0.0,954194.0,0.0,30085.0,Upper Marlboro,MD,"Washington--Arlington, DC--VA--MD",,60.5
Private Transportation Corporation,6,117736,2465326.0,71.0,3248.12,0.0,0.0,0.0,0.0,48505.0,0.0,0.0,0.0,48505.0,0.0,,,,,,
Productive Alternatives,36,0,,,,,,,,,,,,,,,,,,,
Project Concern,3,0,,,,,,,,,,,,,,,,,,,
"Prowers County, dba: Prowers Area Transit",5,0,,,,,,,,,,,,,,,,,,,
Public Transit Services,30,0,167246.0,1855.0,1746.9,,,,,,,,,,,,,,,,
"Pueblo of Laguna, dba: Shaa'srk'a Transit Program",8,0,,,0.0,,,,,,,,,,,,,,,,
Pueblo of Santa Ana,3,0,,,0.0,,,,,,,,,,,,,,,,
Puerto Rico Highway and Transportation Authority – Público,370,6183428,2478905.0,892.0,763.6,26166.0,381105.0,0.0,0.0,0.0,0.0,0.0,0.0,407271.0,0.0,,,,,,
Puerto Rico Maritime Transport Authority,26,194930,2390000.0,3500.0,763.6,1609541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1609541.0,0.0,40175.0,San Juan,PR,"San Juan, PR",,178.0
Pulaski Area Transit,20,0,,,,,,,,,,,,,,,,,,,
Pulaski County Transit,4,0,,,,,,,,,,,,,,,,,,,
Pullman Transit,34,0,,,,,,,,,,,,,,,,,,,
"Putnam County , dba: Putnam Area Rapid Transit",26,585886,61963.0,98.0,3248.12,0.0,71503.0,0.0,0.0,0.0,0.0,0.0,0.0,71503.0,0.0,,,,,,
Putnam County CommissionTransit,3,0,,,,,,,,,,,,,,,,,,,
Pyramid Lake Paiute Tribe,2,0,,,0.0,,,,,,,,,,,,,,,,
Queen Anne's County Department of Aging,26,0,50380.0,511.0,654.93,,,,,,,,,,,,,,,,
RTS Genesee,10,0,,,,,,,,,,,,,,,,,,,
RTS Livingston,13,0,694394.0,293.0,,,,,,,,,,,,,,,,,
RTS Ontario,21,0,981771.0,407.0,,,,,,,,,,,,,,,,,
RTS Seneca,5,0,,,,,,,,,,,,,,,,,,,
Rabun County,5,0,,,,,,,,,,,,,,,,,,,
Rainbow Rider Transit Board,56,0,,,,,,,,,,,,,,,,,,,
Randolph County Senior Adult Association Inc.,30,0,,,,,,,,,,,,,,,,,,,
"Randolph County Senior Center , dba: Country Roads Transit",24,0,,,,,,,,,,,,,,,,,,,
Rapides Senior Center,5,0,,,,,,,,,,,,,,,,,,,
Ravalli County Council on Aging,6,0,,,,,,,,,,,,,,,,,,,
Rawlins County,2,0,,,,,,,,,,,,,,,,,,,
"Ray County Transportation, Inc.",22,0,,,,,,,,,,,,,,,,,,,
"Red Cliff Band of Lake Superior Chippewa, dba: Red Cliff (Miskwaabekong) Transit",5,0,,,0.0,,,,,,,,,,,,,,,,
Red Lake Band of the Chippewa,16,0,,,0.0,,,,,,,,,,,,,,,,
Red Lodge Area Community Foundation,2,0,,,,,,,,,,,,,,,,,,,
Red River Council on Aging,5,0,,,,,,,,,,,,,,,,,,,
Redding Area Bus Authority,42,881257,126551.0,100.0,67.06,134802.0,45800.0,0.0,0.0,0.0,0.0,0.0,7378.0,180602.0,7378.0,,,,,,
Redwood Coast Transit Authority,12,0,,,,,,,,,,,,,,,,,,,
Region Six Planning Commission/PeopleRides,13,0,,,,,,,,,,,,,,,,,,,
Region XII Council of Governments/WITS,45,0,,,,,,,,,,,,,,,,,,,
Regional Planning Commission of Greater Birmingham,26,699095,817550.0,392.0,509.27,0.0,32451.0,0.0,0.0,0.0,0.0,0.0,0.0,32451.0,0.0,,,,,,
"Regional Public Transportation Authority, dba: Valley Metro",2644,20771071,2926767.0,665.0,1110.48,603422.0,596622.0,0.0,3063989.0,0.0,106321.0,0.0,0.0,4370354.0,0.0,,,,,,
Regional Transit Authority/RIDES,56,0,,,,,,,,,,,,,,,,,,,
"Regional Transit Service - Monroe County, dba: RTS Monroe (MB) and RTS Access (DR)",720,7757210,693960.0,298.0,291.83,,,,,,,,,,,20113.0,Rochester,NY,"Rochester, NY",,759.0
Regional Transportation Authority,108,699812,1583115.0,750.0,584.95,,,,,,,,,,,,,,,,
Regional Transportation Authority of Pima County,56,0,1052030.0,9189.0,357.35,,,,,,,,,,,,,,,,
Regional Transportation Commission of Southern Nevada,1154,30889186,2265461.0,396.0,435.29,0.0,0.0,0.0,8167000.0,575211.0,0.0,0.0,0.0,8742211.0,0.0,,,,,,
Regional Transportation Commission of Washoe County,1684,7854817,394010.0,109.0,165.43,0.0,255567.0,0.0,148706.0,348899.0,0.0,0.0,1183636.0,753172.0,1183636.0,,,,,,
"Regional Transportation Program, Inc.",18,0,265612.0,53.0,123.88,,,,,,,,,,,,,,,,
Reno County Public Transportation,22,0,,,,,,,,,,,,,,,,,,,
Reno-Sparks Indian Colony,2,0,,,165.43,,,,,,,,,,,,,,,,
Republic County Transportation,2,0,,,,,,,,,,,,,,,,,,,
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle",320,3586594,1924805.0,1665.0,183.36,525648.0,88589.0,0.0,0.0,0.0,0.0,0.0,51841.0,614237.0,51841.0,40108.0,Durham,NC,"Durham, NC",,214.1
Rhode Island Department of Transportation,1,20933,78813.0,10.0,544.25,130831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130831.0,0.0,,,,,,
Rhode Island Public Transit Authority,1144,14489532,1048319.0,1436.0,544.25,,,,,,,,,,,10001.0,Providence,RI,"Providence, RI--MA",,805.0
Rice County Council on Aging,4,0,,,,,,,,,,,,,,,,,,,
Richland County,9,0,,,,,,,,,,,,,,,,,,,
Richland County Transit,24,0,73140.0,72.0,47.68,,,,,,,,,,,,,,,,
Richmond Interagency Transportation Inc.,9,0,,,,,,,,,,,,,,,,,,,
"Ride Connection, Inc.",180,614734,1415900.0,1192.0,519.3,0.0,62827.0,0.0,0.0,0.0,0.0,0.0,675.0,62827.0,675.0,376.0,Portland,OR,"Portland, OR--WA",,164.0
Ride Solution,32,0,503506.0,137.0,,,,,,,,,,,,,,,,,
Rides Mass Transit District,116,3325804,306981.0,7379.0,0.0,156938.0,272608.0,0.0,0.0,19397.0,30290.0,0.0,0.0,479233.0,0.0,50211.0,Harrisburg,IL,Illinois Non-UZA,,204.0
Rio Metro Regional Transit District,244,2335943,982474.0,990.0,263.07,43700.0,85463.0,0.0,0.0,1009440.0,0.0,0.0,0.0,1138603.0,0.0,60111.0,Albuquerque,NM,"Albuquerque, NM",,47.0
"Ripley County Transit, Inc.",15,0,,,,,,,,,,,,,,,,,,,
River Bend Transit,70,989558,555862.0,2791.0,134.86,0.0,154221.0,0.0,0.0,0.0,0.0,0.0,0.0,154221.0,0.0,70049.0,Davenport,IA,"Davenport, IA--IL",,106.78
River Parishes Transit Authority,3,0,98704.0,143.0,270.27,,,,,,,,,,,,,,,,
River Valley Metro Mass Transit District,51,1320263,69360.0,26.0,31.66,61034.0,160670.0,0.0,0.0,0.0,0.0,0.0,0.0,221704.0,0.0,,,,,,
RiverCities Transit,63,511329,61598.0,31.0,35.19,0.0,15747.0,18968.0,0.0,71816.0,0.0,0.0,0.0,106531.0,0.0,16.0,Longview,WA,"Longview, WA--OR",,36.14
Riverside County Transportation Commission,33,732987,1972121.0,2100.0,608.56,0.0,37985.0,0.0,0.0,0.0,0.0,0.0,0.0,37985.0,0.0,,,,,,
Riverside Transit Agency,744,10377406,1907122.0,2500.0,608.56,0.0,250060.0,0.0,2117361.0,0.0,0.0,0.0,0.0,2367421.0,0.0,90031.0,Riverside,CA,"Riverside--San Bernardino, CA",,412.0
Riverton Senior Center,4,0,,,,,,,,,,,,,,,,,,,
Roaring Fork Transportation Authority,392,0,,,,,,,,,,,,,,,,,,,
Robeson County,11,0,,,,,,,,,,,,,,,,,,,
Rock Island County,11,0,,,,,,,,,,,,,,,,,,,
Rock Island County Metropolitan Mass Transit District,248,2642247,120378.0,46.0,134.86,35920.0,47779.0,0.0,523332.0,9284.0,0.0,0.0,192714.0,616315.0,192714.0,50057.0,Moline,IL,"Davenport, IA--IL",,161.85
Rock Region Metropolitan Transit Authority,415,3356286,202333.0,109.0,267.82,60411.0,167109.0,0.0,428043.0,0.0,0.0,251820.0,0.0,655563.0,251820.0,60033.0,North Little Rock,AR,"Little Rock, AR",,205.29
Rockford Mass Transit District,147,2168326,285526.0,156.0,133.81,316219.0,99282.0,0.0,0.0,0.0,0.0,0.0,0.0,415501.0,0.0,50058.0,Rockford,IL,"Rockford, IL",,130.86
Rockingham County Council on Aging,26,0,,,,,,,,,,,,,,,,,,,
"Rockland Coaches, Inc.",33,1535904,1246231.0,2898.0,3248.12,283362.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283362.0,0.0,20149.0,Westwood,NJ,"New York--Jersey City--Newark, NY--NJ",,82.0
Rogue Valley Transportation District,90,1666100,173199.0,78.0,63.02,30614.0,34453.0,0.0,231869.0,0.0,0.0,0.0,0.0,296936.0,0.0,34.0,Medford,OR,"Medford, OR",,120.0
Rolling Plains Management Corporation / SHARP Lines,59,0,,,,,,,,,,,,,,,,,,,
Rooks County Transportation Service,2,0,,,,,,,,,,,,,,,,,,,
Roscommon County Transportation Authority,24,0,42075.0,36.0,,,,,,,,,,,,,,,,,
Rosebud Community Hospital,3,0,,,,,,,,,,,,,,,,,,,
Rosebud Sioux Tribe,9,0,,,0.0,,,,,,,,,,,,,,,,
"Rowan County, dba: Rowan Transit System",22,0,148565.0,524.0,200.06,,,,,,,,,,,,,,,,
Rural Community Transportation,272,0,,,,,,,,,,,,,,,,,,,
"Rural Economic Assistance League, Inc.",52,0,,,,,,,,,,,,,,,,,,,
Rural Office of Community Services,33,0,34000.0,25.0,,,,,,,,,,,,,,,,,
Rural Resources Community Action,16,0,,,,,,,,,,,,,,,,,,,
"Rural Transit Enterprises Coordinated, Inc.",153,0,,,,,,,,,,,,,,,,,,,
Rush County Public Transportation,2,0,,,,,,,,,,,,,,,,,,,
"Rush County Senior Services , dba: Ride Rush Public Transit",4,0,70002.0,304.0,,,,,,,,,,,,,,,,,
Rusk County Transit Commission,34,0,,,,,,,,,,,,,,,,,,,
Rutherford County,30,0,,,,,,,,,,,,,,,,,,,
SEMCAC,13,0,,,,,,,,,,,,,,,,,,,
"SERVE, Inc.",11,0,,,,,,,,,,,,,,,,,,,
"SESDAC, Inc , dba: Vermillion Public Transit",5,0,,,,,,,,,,,,,,,,,,,
SMART Starkville-MSU Area Rapid Transit,68,0,,,,,,,,,,,,,,,,,,,
SMART Transit,10,0,,,,,,,,,,,,,,,,,,,
SNTC - Boulder City,7,0,,,,,,,,,,,,,,,,,,,
SNTC-Laughlin,36,0,,,35.39,,,,,,,,,,,,,,,,
SNTC-Mesquite,18,0,,,,,,,,,,,,,,,,,,,
"SPAN, Incorporated",26,0,859064.0,878.0,150.48,,,,,,,,,,,,,,,,
STAR Transit,104,1481041,464887.0,981.0,1746.9,0.0,211703.0,0.0,0.0,0.0,0.0,0.0,0.0,211703.0,0.0,60114.0,Terrell,TX,"Dallas--Fort Worth--Arlington, TX",,91.0
"STEP, Inc.",70,0,,,27.72,,,,,,,,,,,,,,,,
Sac and Fox Nation of Missouri,2,0,,,0.0,,,,,,,,,,,,,,,,
"Sacramento Regional Transit District, dba: Sacramento RT",1468,16057961,1332800.0,291.0,467.58,13592.0,588951.0,0.0,3390905.0,0.0,0.0,26971511.0,248377.0,3993448.0,27219888.0,90019.0,Sacramento,CA,"Sacramento, CA",,
Saginaw Transit Authority Regional Service,112,945623,200169.0,63.0,65.73,162604.0,24218.0,0.0,0.0,0.0,0.0,0.0,0.0,186822.0,0.0,50039.0,Saginaw,MI,"Saginaw, MI",,115.0
"Salem Area Mass Transit District, dba: Salem-Keizer Transit or Cherriots",596,3804477,230118.0,68.0,72.68,206648.0,119329.0,0.0,348127.0,44385.0,0.0,0.0,0.0,718489.0,0.0,25.0,Salem,OR,"Salem, OR",,223.22
Salem County,15,0,253000.0,567.0,,,,,,,,,,,,,,,,,
Saline County Area Transit,4,0,,,,,,,,,,,,,,,,,,,
"Salt River Pima-Maricopa Indian Community, dba: Salt River Transit",9,0,,,0.0,,,,,,,,,,,,,,,,
Sampson County,12,0,,,,,,,,,,,,,,,,,,,
San Benito County LTA,30,0,,,,,,,,,,,,,,,,,,,
San Bernardino County Transportation Authority,57,1197021,2187665.0,2953.0,608.56,0.0,60156.0,0.0,0.0,0.0,0.0,0.0,0.0,60156.0,0.0,,,,,,
San Carlos Apache Tribe,10,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
"San Diego Association of Governments, dba: SANDAG",391,9068287,3316192.0,4207.0,674.72,0.0,478814.0,0.0,0.0,0.0,0.0,0.0,68075.0,478814.0,68075.0,,,,,,
San Diego Metropolitan Transit System,4368,38433410,2462707.0,720.0,674.72,0.0,75746.0,784951.0,7176335.0,0.0,0.0,56896708.0,455773.0,8037032.0,57352481.0,90026.0,San Diego,CA,"San Diego, CA",,
San Francisco Bay Area Rapid Transit District,2320,81330845,867725.0,80.0,513.8,,,,,,,,,,,90003.0,Oakland,CA,"San Francisco--Oakland, CA",,
"San Francisco Bay Area Water Emergency Transportation Authority, dba: San Francisco Bay Ferry",11,548278,345375.0,127.0,513.8,3609188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3609188.0,0.0,,,,,,
San Joaquin Council,360,8391406,784298.0,1426.0,92.46,,,,,,,,,,,,,,,,
San Joaquin Regional Transit District,805,2403764,782460.0,1426.0,92.46,,,,,,,,,,,90012.0,Stockton,CA,"Stockton, CA",,231.5
San Luis Obispo Regional Transit Authority,82,1779785,206008.0,130.0,14.11,231741.0,62339.0,0.0,0.0,0.0,0.0,0.0,0.0,294080.0,0.0,90206.0,San Luis Obispo,CA,"San Luis Obispo, CA",,110.57
San Mateo County Transit District,1248,9860381,765551.0,97.0,513.8,,,,,,,,,,,90009.0,San Carlos,CA,"San Francisco--Oakland, CA",,731.0
"San Miguel Authority for Regional Transportation, dba: SMART",45,0,,,,,,,,,,,,,,,,,,,
Sanders County Council on Aging,10,0,,,,,,,,,,,,,,,,,,,
Sandusky Transit System,50,0,,,53.8,,,,,,,,,,,,,,,,
Sandy Valley Transportation Services,79,0,,,,,,,,,,,,,,,,,,,
"Sangamon County, dba: Sangamon/Menard Area Regional Transit",5,0,,,,,,,,,,,,,,,,,,,
Sanilac County Board of Commissioners,16,0,,,,,,,,,,,,,,,,,,,
Santa Barbara County Association of Governments,9,0,277350.0,2554.0,54.81,,,,,,,,,,,,,,,,
Santa Barbara Metropolitan Transit District,80,2534276,199668.0,52.0,54.81,527900.0,0.0,0.0,0.0,0.0,0.0,0.0,153040.0,527900.0,153040.0,90020.0,Santa Barbara,CA,"Santa Barbara, CA",,186.0
Santa Clara Valley Transportation Authority,2480,21863666,1894783.0,346.0,285.48,,,,,,,,,,,90013.0,San Jose,CA,"San Jose, CA",,
Santa Cruz Metropolitan Transit District,258,3335381,270861.0,445.0,60.45,136385.0,63773.0,0.0,510058.0,0.0,0.0,0.0,54677.0,710216.0,54677.0,90006.0,Santa Cruz,CA,"Santa Cruz, CA",,277.0
Santee Sioux Nation,2,0,,,0.0,,,,,,,,,,,,,,,,
Santee Wateree Regional Transportation Authority,129,448031,106512.0,4049.0,57.65,,,,,,,,,,,40100.0,Sumter,SC,"Sumter, SC",,47.25
"Sarasota County , dba: Sarasota County Area Transit",321,5223911,517423.0,610.0,404.28,438736.0,275188.0,0.0,0.0,0.0,0.0,0.0,0.0,713924.0,0.0,40046.0,Sarasota,FL,"Bradenton--Sarasota--Venice, FL",,136.6
"Sault Sainte Marie, City of",5,0,,,,,,,,,,,,,,,,,,,
Sault Ste. Marie Tribe of Chippewa Indians,3,0,,,0.0,,,,,,,,,,,,,,,,
Saunders County Transportation,2,0,,,,,,,,,,,,,,,,,,,
"Sawyer County/LCO Transit Commission, dba: Namekagon Transit",14,0,,,,,,,,,,,,,,,,,,,
Schoharie County Public Transportation,24,0,,,,,,,,,,,,,,,,,,,
Schoolcraft Transit Authority,10,0,,,,,,,,,,,,,,,,,,,
Schuyler,1,0,22322.0,19.0,,,,,,,,,,,,,,,,,
Schuyler County,14,0,,,,,,,,,,,,,,,,,,,
Schuylkill Transportation System,76,0,,,,,,,,,,,,,,,,,,,
Scioto County/Access Scioto County,12,0,,,,,,,,,,,,,,,,,,,
Scotland County,10,0,,,,,,,,,,,,,,,,,,,
"Scott County Transit System, Inc.",7,0,,,,,,,,,,,,,,,,,,,
"Scotts Bluff Public Transit, dba: Tri City Roadrunner",16,0,,,,,,,,,,,,,,,,,,,
Scottsville Transit,2,0,,,,,,,,,,,,,,,,,,,
"SeaStreak, LLC",7,143935,3658455.0,776.0,3248.12,1701973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1701973.0,0.0,20226.0,Atlantic Highlands,NJ,"New York--Jersey City--Newark, NY--NJ",,259.0
Sedgwick County Transportation - Dept. on Aging,14,0,,,226.84,,,,,,,,,,,,,,,,
Seldovia Village Tribe,1,0,,,0.0,,,,,,,,,,,,,,,,
Selkirks-Pend Oreille Transit Authority (SPOT),18,0,,,,,,,,,,,,,,,,,,,
Seminole Nation Public Transit,5,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Seneca Nation of Indians,2,0,,,0.0,,,,,,,,,,,,,,,,
Seneca-Crawford Area Transportation,46,0,,,,,,,,,,,,,,,,,,,
"Senior Center Resources and Public Transit, Inc.",19,0,685345.0,861.0,,,,,,,,,,,,,,,,,
"Senior Citizen Industries, dba: Central Ride Agency of Nebraska",13,0,61492.0,546.0,29.6,,,,,,,,,,,,,,,,
Senior Citizens Council,26,0,,,,,,,,,,,,,,,,,,,
"Senior Citizens United Community Services of Camden County, Inc.",47,734311,508932.0,222.0,1898.19,156.0,93908.0,0.0,0.0,0.0,0.0,0.0,0.0,94064.0,0.0,20204.0,Audubon,NJ,"Philadelphia, PA--NJ--DE--MD",,51.0
"Senior Citizens of Kodiak, Inc.",2,0,,,,,,,,,,,,,,,,,,,
"Senior Citizens of Sweet Home, Inc.",33,0,,,,,,,,,,,,,,,,,,,
Senior Information Center York,4,0,,,,,,,,,,,,,,,,,,,
"Senior Resource Development Agency, Pueblo, Inc., dba: SRDA",24,0,110841.0,2386.0,54.7,,,,,,,,,,,,,,,,
Senior Services Incorporated of Chester County,15,0,,,,,,,,,,,,,,,,,,,
Senior Services of Snohomish County,14,0,,,982.52,,,,,,,,,,,,,,,,
"Services for Seniors, Inc.",2,0,,,,,,,,,,,,,,,,,,,
Seward County Handibus,4,0,,,,,,,,,,,,,,,,,,,
Shawnee Mass Transit District,42,0,,,,,,,,,,,,,,,,,,,
Shelby County,29,0,,,,,,,,,,,,,,,,,,,
Shelby Public Transit,11,0,,,,,,,,,,,,,,,,,,,
"Shelby Senior Services , dba: ShelbyGo Public Transit",4,0,,,,,,,,,,,,,,,,,,,
Sheridan County Public Transit,2,0,,,,,,,,,,,,,,,,,,,
Shiawassee Area Transportation Agency,16,0,,,,,,,,,,,,,,,,,,,
Shoshone County,4,0,,,,,,,,,,,,,,,,,,,
Shoshone and Arapaho Tribes DOT,3,0,,,0.0,,,,,,,,,,,,,,,,
Shoshone-Bannock Tribes,7,0,0.0,,0.0,,,,,,,,,,,,,,,,
Sierra County Transportation Commission,4,0,,,,,,,,,,,,,,,,,,,
"Silver Key Senior Services, Inc",16,0,752000.0,900.0,200.36,,,,,,,,,,,,,,,,
Siouxland Regional Transit System,31,0,,,,,,,,,,,,,,,,,,,
Sisseton-Wahpeton Oyate,2,0,,,0.0,,,,,,,,,,,,,,,,
Sitka Tribe of Alaska,2,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Skagit Transit,276,2500536,116627.0,760.0,30.66,249126.0,30297.0,85292.0,0.0,0.0,0.0,0.0,0.0,364715.0,0.0,44.0,Burlington,WA,"Mount Vernon, WA",,134.24
Skamania County Senior Services,22,0,,,,,,,,,,,,,,,,,,,
Snohomish County Public Transportation Benefit Area Corporation,2405,13728800,806655.0,256.0,982.52,2133600.0,256481.0,4237.0,0.0,90450.0,0.0,0.0,0.0,2484768.0,0.0,29.0,Everett,WA,"Seattle--Tacoma, WA",,721.15
Snoqualmie Indian Tribe,3,0,,,0.0,,,,,,,,,,,,,,,,
Social Circle Area Transit,2,0,,,,,,,,,,,,,,,,,,,
Solano County Transit,93,1568374,149473.0,65.0,39.64,,,,,,,,,,,,,,,,
"Solomon Valley Transportation, Inc.",7,0,,,,,,,,,,,,,,,,,,,
Somerset County,16,0,,,,,,,,,,,,,,,,,,,
"Somerset County, dba: Somerset County Transportation",114,1015190,324194.0,305.0,3248.12,21287.0,166575.0,0.0,0.0,0.0,0.0,0.0,0.0,187862.0,0.0,20209.0,Somerville,NJ,"New York--Jersey City--Newark, NY--NJ",,86.0
Sonoma-Marin Area Rail Transit District,10,681186,746093.0,2596.0,79.39,224373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224373.0,0.0,90299.0,Petaluma,CA,"Santa Rosa, CA",,129.0
Souris Basin Transit,23,0,,,26.67,,,,,,,,,,,,,,,,
South Bend Public Transportation Corporation,112,1736349,154346.0,68.0,147.93,0.0,49471.0,0.0,275721.0,50683.0,0.0,0.0,0.0,375875.0,0.0,50052.0,South Bend,IN,"South Bend, IN--MI",,96.0
"South Big Horn Senior Citizens, Inc.",6,0,,,,,,,,,,,,,,,,,,,
South Central Adult Services,94,0,,,,,,,,,,,,,,,,,,,
"South Central Community Action Agency, Inc.",15,0,,,,,,,,,,,,,,,,,,,
South Central Illinois Mass Transit District,208,0,,,,,,,,,,,,,,,,,,,
South Central Regional Transit District,16,0,220029.0,135.0,64.47,,,,,,,,,,,,,,,,
South Central Tennessee Development District,252,0,,,23.31,,,,,,,,,,,,,,,,
South Central Transit Authority,489,6038695,949401.0,1848.0,181.53,0.0,386527.0,0.0,0.0,616752.0,0.0,0.0,0.0,1003279.0,0.0,30202.0,Lancaster,PA,"Lancaster--Manheim, PA",,237.9
South Clackamas Transportation District,4,0,,,,,,,,,,,,,,,,,,,
South East Area Transit,50,0,,,,,,,,,,,,,,,,,,,
South East Texas Regional Planning Commission,19,0,,,,,,,,,,,,,,,,,,,
South Florida Regional Transportation Authority,90,3864808,133588.0,32.0,1244.18,2763467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763467.0,0.0,,,,,,
South Jersey Transportation Authority,28,0,1525228.0,1898.0,1898.19,,,,,,,,,,,,,,,,
"South Lake County Community Services, Inc., dba: Lake County Community Services, Inc.",15,0,216180.0,550.0,2337.89,,,,,,,,,,,,,,,,
"South Plains Community Action Association, Inc.",86,0,,,,,,,,,,,,,,,,,,,
South Texas College,2,0,142210.0,63.0,326.22,,,,,,,,,,,,,,,,
SouthWest Transit,84,2045650,118588.0,81.0,1014.79,201800.0,65009.0,0.0,0.0,0.0,0.0,0.0,17529.0,266809.0,17529.0,,,,,,
Southeast Area Transit District,87,1292242,268805.0,156.0,116.72,192195.0,35369.0,0.0,0.0,10120.0,0.0,0.0,0.0,237684.0,0.0,10040.0,Preston,CT,"Norwich--New London, CT",,73.64
"Southeast Iowa Regional Planning Commission, dba: SEIBUS",25,0,,,,,,,,,,,,,,,,,,,
Southeast Kansas Community Action Program,24,0,,,,,,,,,,,,,,,,,,,
Southeast Missouri State University,4,0,16987.0,6.0,31.22,,,,,,,,,,,,,,,,
"Southeast Missouri Transportation, Inc.",167,0,,,,,,,,,,,,,,,,,,,
Southeast Nebraska Community Action Partnership,3,0,,,,,,,,,,,,,,,,,,,
Southeast Tennessee Human Resource Agency -Cleveland Urban Area Transit System Division,28,0,66333.0,24.0,54.97,,,,,,,,,,,,,,,,
Southeast Tennessee Human Resource Agency-Rural Division,130,0,,,,,,,,,,,,,,,,,,,
"Southeast Vermont Transit, Inc",255,0,,,,,,,,,,,,,,,,,,,
Southeastern Pennsylvania Transportation Authority,13734,84803334,3475337.0,844.0,1898.19,10583882.0,782842.0,0.0,0.0,0.0,0.0,326147560.0,0.0,11366724.0,326147560.0,30019.0,Philadelphia,PA,"Philadelphia, PA--NJ--DE--MD",,
Southeastern Regional Transit Authority,146,2460170,308614.0,289.0,59.31,370729.0,103392.0,0.0,0.0,0.0,0.0,0.0,0.0,474121.0,0.0,,,,,,
"Southern California Regional Rail Authority, dba: Metrolink",195,11066912,8341002.0,2291.0,1636.83,3255144.0,0.0,0.0,0.0,3872793.0,0.0,0.0,0.0,7127937.0,0.0,,,,,,
"Southern Colorado Community Action Agency, Inc.",33,0,,,,,,,,,,,,,,,,,,,
"Southern Georgia Regional Commission, dba: SGRC",38,0,,,,,,,,,,,,,,,,,,,
Southern Iowa Trolley,27,0,,,,,,,,,,,,,,,,,,,
Southern Teton Area Rapid Transit,56,0,,,,,,,,,,,,,,,,,,,
Southwest  Human Resource Agency,34,0,,,,,,,,,,,,,,,,,,,
Southwest Area Regional Transit District,84,0,,,21.14,,,,,,,,,,,,,,,,
Southwest Georgia RC,64,0,,,,,,,,,,,,,,,,,,,
Southwest Iowa Planning Council /SW Iowa Transit,67,0,,,,,,,,,,,,,,,,,,,
"Southwest Ohio Regional Transit Authority, dba: Metro / Access",642,13246035,744901.0,289.0,752.28,2684361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2684361.0,0.0,50012.0,Cincinnati,OH,"Cincinnati, OH--KY",,
"Southwest Oklahoma Community Action Group, Inc.",23,0,,,,,,,,,,,,,,,,,,,
Southwest Transportation Services,4,0,,,,,,,,,,,,,,,,,,,
Southwestern Community Services Transportation,16,0,,,0.0,,,,,,,,,,,,,,,,
"Southwestern MN Opportunity Council, Inc.",8,0,,,,,,,,,,,,,,,,,,,
Southwestern Pennsylvania Commission,11,143665,1614197.0,833.0,906.64,0.0,6813.0,0.0,0.0,0.0,0.0,0.0,0.0,6813.0,0.0,,,,,,
"Spartanburg Regional Health Services, Inc.",26,1001637,335864.0,811.0,181.0,0.0,135848.0,258.0,0.0,0.0,0.0,0.0,0.0,136106.0,0.0,40244.0,Spartanburg,SC,"Spartanburg, SC",,53.73
Spartanburg Transit System,8,0,37013.0,40.0,181.0,,,,,,,,,,,,,,,,
Special Mobility Services,12,0,,,,,,,,,,,,,,,,,,,
Spirit Lake Tribe,5,0,,,0.0,,,,,,,,,,,,,,,,
Spokane Transit Authority,1116,10296150,459007.0,248.0,171.67,1442315.0,160768.0,260.0,0.0,0.0,0.0,0.0,253079.0,1603343.0,253079.0,2.0,Spokane,WA,"Spokane, WA",,772.01
Spokane Tribe of Indians,33,0,,,0.0,,,,,,,,,,,,,,,,
