Agency,NTD ID,Operating Federal,Operating State,Operating Local,Operating Other,Capital Federal,Capital State,Capital Local,Capital Other,Number of Operating Fleets,Ridership,Total OE,OpExp VO,OpExp VM,OpExp NVM,OpExp GA,FARES,DRM,VRM,VRH,UPT,PMT,Days of Service Operated,Days Not Operated Due to Emergencies,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW,City,State,Cluster
Project Concern,70267,85330.0,8225.0,16183.0,8468.0,0.0,0.0,0.0,0.0,3.0,0.0,118206.0,0.0,0.0,0.0,0.0,8468.0,0.0,20864.0,2860.0,4959.0,0.0,0.0,0.0,0.0,0.0,Atchison,KS,0
Gove County Medical Center,70268,47031.0,3610.0,7405.0,2176.0,0.0,0.0,0.0,0.0,2.0,0.0,60222.0,0.0,0.0,0.0,0.0,2176.0,0.0,51324.0,2196.0,3826.0,0.0,0.0,0.0,0.0,0.0,Quinter,KS,0
"Kansas City, City of Missouri, dba: Kansas City Streetcar",70271,5360.0,0.0,6152966.0,0.0,17003203.0,0.0,17916696.0,0.0,4.0,127968.0,6158326.0,2815926.0,911919.0,433594.0,1996887.0,0.0,3.92,126804.0,17345.0,1234901.0,1922253.0,365.0,0.0,0.0,0.0,Kansas City,MO,10
Sac and Fox Nation of Missouri,70273,78855.0,0.0,0.0,4667.0,0.0,0.0,0.0,0.0,2.0,0.0,83522.0,0.0,0.0,0.0,0.0,4667.0,0.0,15976.0,548.0,490.0,0.0,0.0,0.0,0.0,0.0,Hiawatha,KS,0
Nebraska Department of Transportation,70275,219776.0,0.0,0.0,654811.0,0.0,0.0,0.0,0.0,47.0,979428.0,538169.0,184572.0,19372.0,1077.0,333148.0,654811.0,0.0,979428.0,20044.0,96498.0,4245642.0,365.0,0.0,0.0,0.0,Lincoln,NE,10
Linn County,70277,0.0,0.0,645391.0,1366335.0,0.0,0.0,0.0,0.0,15.0,0.0,2011726.0,0.0,0.0,0.0,0.0,63643.0,0.0,214058.0,20084.0,37965.0,0.0,0.0,0.0,0.0,0.0,Cedar Rapids,IA,0
"Ponca Tribe of Nebraska, dba: Ponca Express",77063,1489125.0,0.0,0.0,13747.0,0.0,0.0,0.0,0.0,24.0,0.0,1502872.0,0.0,0.0,0.0,0.0,13747.0,0.0,382707.0,12446.0,19993.0,0.0,0.0,0.0,0.0,0.0,Niobrara,NE,0
Santee Sioux Nation,77069,9261.0,0.0,51847.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,61108.0,0.0,0.0,0.0,0.0,0.0,0.0,58571.0,2644.0,3500.0,0.0,0.0,0.0,0.0,0.0,Niobrara,NE,0
Prairie Band Potawatomi Nation,77075,392260.0,0.0,86674.0,13379.0,0.0,0.0,0.0,0.0,7.0,0.0,492313.0,0.0,0.0,0.0,0.0,13379.0,0.0,119684.0,3227.0,6908.0,0.0,0.0,0.0,0.0,0.0,Mayetta,KS,0
Rawlins County,77076,41023.0,2697.0,16460.0,1925.0,0.0,0.0,0.0,0.0,2.0,0.0,62105.0,0.0,0.0,0.0,0.0,0.0,0.0,12623.0,482.0,4274.0,0.0,0.0,0.0,0.0,0.0,Atwood,KS,0
Omaha Tribe Public Transit,77077,751972.0,0.0,0.0,7827.0,96289.0,0.0,0.0,0.0,7.0,0.0,759799.0,0.0,0.0,0.0,0.0,7827.0,0.0,351621.0,9769.0,10936.0,0.0,0.0,0.0,0.0,0.0,Macy,NE,0
Garden County,77078,173878.0,31316.0,9916.0,28944.0,36871.0,4609.0,4609.0,0.0,3.0,0.0,244054.0,0.0,0.0,0.0,0.0,28944.0,0.0,71311.0,2728.0,2954.0,0.0,0.0,0.0,0.0,0.0,Oshkosh,NE,0
Northeast Kansas Area Agency on Aging,77079,314295.0,25080.0,55798.0,28568.0,0.0,0.0,0.0,0.0,5.0,0.0,423741.0,0.0,0.0,0.0,0.0,28568.0,0.0,86816.0,5911.0,6524.0,0.0,0.0,0.0,0.0,0.0,Hiawatha,KS,0
Cheyenne County,77082,28081.0,3091.0,7850.0,87.0,0.0,0.0,0.0,0.0,1.0,0.0,39109.0,0.0,0.0,0.0,0.0,87.0,0.0,4254.0,350.0,2589.0,0.0,0.0,0.0,0.0,0.0,St Francis,KS,0
"Multi Community Diversified Services, Inc.",77083,158462.0,13749.0,20971.0,8021.0,0.0,0.0,0.0,0.0,5.0,0.0,201203.0,0.0,0.0,0.0,0.0,8021.0,0.0,16158.0,1569.0,6086.0,0.0,0.0,0.0,0.0,0.0,Mcpherson,KS,0
Nance Trans,77085,115373.0,22441.0,12350.0,74956.0,0.0,0.0,0.0,0.0,4.0,0.0,225120.0,0.0,0.0,0.0,0.0,74956.0,0.0,45523.0,1034.0,1728.0,0.0,0.0,0.0,0.0,0.0,Fullerton,NE,0
New Bourbon Regional Port Authority,77086,85381.0,0.0,0.0,22939.0,0.0,0.0,0.0,0.0,1.0,0.0,108320.0,0.0,0.0,0.0,0.0,22939.0,0.0,2121.0,284.0,5701.0,0.0,0.0,0.0,0.0,0.0,Perryville,MO,0
"Callaway District Hospital, dba: Callaway District Hospital Public Transportation",77087,52645.0,5672.0,35154.0,13054.0,36871.0,3795.0,3795.0,0.0,1.0,0.0,106525.0,0.0,0.0,0.0,0.0,13054.0,0.0,12580.0,346.0,1520.0,0.0,0.0,0.0,0.0,0.0,Callaway,NE,0
Utah Transit Authority,80001,208054252.0,0.0,257464221.0,46458144.0,57581756.0,2358661.0,32043070.0,0.0,8504.0,40768367.0,421086599.0,172021718.0,104275762.0,51481402.0,93307717.0,33523711.0,2680.64,37566707.0,2179279.0,31457920.0,245491324.0,2809.0,0.0,0.0,2390.14,Salt Lake City,UT,2
"Su Tran LLC , dba: Sioux Area Metro",80002,6855820.0,82862.0,2362441.0,537813.0,0.0,0.0,546597.0,0.0,62.0,851462.0,9838936.0,6282545.0,1367155.0,549518.0,1639718.0,439201.0,104.4,802945.0,76420.0,441148.0,1769126.0,555.0,0.0,0.0,104.4,Sioux Falls,SD,21
"City of Fargo, dba: Metropolitan Area Transit",80003,4737001.0,1062550.0,3927002.0,1229517.0,547410.0,78150.0,33947.0,10445.0,76.0,1224433.0,10956070.0,4720912.0,2551681.0,378222.0,3305255.0,659308.0,138.0,1164872.0,96496.0,889763.0,3725509.0,666.0,0.0,0.0,138.0,Fargo,ND,21
"City of Billings, dba: Metropolitan Transit System",80004,4547349.0,840452.0,0.0,626015.0,5422404.0,0.0,1124534.0,0.0,56.0,841212.0,6023616.0,3886551.0,594130.0,470265.0,1072670.0,494181.0,199.4,748332.0,52916.0,337500.0,1415809.0,617.0,0.0,0.0,199.4,Billings,MT,21
"City of Colorado Springs, dba: Mountain Metropolitan Transit",80005,6946266.0,592045.0,20831460.0,2702694.0,13373779.0,956529.0,3810268.0,0.0,380.0,3722824.0,31069260.0,16852120.0,3597753.0,2929808.0,7689579.0,2057362.0,336.2,3487358.0,253290.0,2315479.0,10996719.0,1256.0,2.0,0.0,336.2,Colorado Springs,CO,7
Denver Regional Transportation District,80006,299016015.0,8025920.0,555615032.0,111364777.0,12457123.0,32843.0,12802580.0,0.0,5586.0,55521206.0,664481002.0,296102266.0,107550821.0,84591868.0,176236047.0,75291969.0,3467.97,49664445.0,3325458.0,61284680.0,364066714.0,2170.0,0.0,0.0,3152.0,Denver,CO,2
"City of Pueblo, dba: Pueblo Transit",80007,3414714.0,98956.0,979935.0,608937.0,0.0,0.0,0.0,0.0,54.0,739736.0,5102542.0,3191806.0,886431.0,240146.0,784159.0,395399.0,126.2,715160.0,50055.0,543077.0,2129031.0,624.0,0.0,0.0,126.2,Pueblo,CO,21
Cities Area Transit,80008,1901720.0,190472.0,875362.0,1210654.0,37621.0,0.0,1973.0,0.0,44.0,650859.0,4178208.0,2743262.0,406565.0,163359.0,865022.0,365663.0,83.2,610945.0,59849.0,288487.0,1283466.0,614.0,0.0,0.0,83.2,Grand Forks,ND,21
"Missoula Urban Transportation District, dba: Mountain Line",80009,6597436.0,64554.0,2592602.0,345319.0,4984664.0,0.0,7533651.0,0.0,64.0,913079.0,9599911.0,5926533.0,1365666.0,181573.0,2126139.0,0.0,117.0,866620.0,67412.0,874250.0,2521679.0,612.0,0.0,0.0,117.0,Missoula,MT,21
"Greeley, City Of",80010,2795495.0,200000.0,2754911.0,385293.0,2062123.0,1003046.0,679427.0,0.0,48.0,0.0,6135699.0,0.0,0.0,0.0,0.0,261283.0,0.0,751257.0,56010.0,550412.0,0.0,0.0,0.0,0.0,0.0,Greeley,CO,0
"City of Fort Collins, dba: Transfort",80011,4393478.0,313104.0,8503574.0,817105.0,1806750.0,100.0,1089085.0,0.0,240.0,1454353.0,13993347.0,8661206.0,2053792.0,421860.0,2856489.0,37085.0,244.4,1483253.0,111989.0,1776206.0,6626353.0,1522.0,0.0,0.0,228.7,Fort Collins,CO,18
Great Falls Transit District,80012,2882657.0,359847.0,625524.0,363418.0,2164144.0,0.0,754260.0,0.0,46.0,729165.0,4234803.0,2867391.0,506258.0,117994.0,743160.0,266984.0,102.0,666012.0,53198.0,320621.0,956123.0,604.0,0.0,0.0,102.0,Great Falls,MT,21
City of Casper,80013,1389218.0,0.0,1078990.0,0.0,62232.0,0.0,0.0,0.0,44.0,0.0,2468208.0,0.0,0.0,0.0,0.0,0.0,0.0,429392.0,33939.0,156000.0,0.0,0.0,0.0,0.0,0.0,Casper,WY,0
"City of Rapid City, dba: Rapid Transit System",80014,1636565.0,31144.0,868093.0,298147.0,0.0,0.0,0.0,0.0,36.0,0.0,2833949.0,0.0,0.0,0.0,0.0,240987.0,0.0,488433.0,37106.0,210702.0,0.0,0.0,0.0,0.0,0.0,Rapid City,SD,0
Shoshone and Arapaho Tribes DOT,80015,194499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,194499.0,0.0,0.0,0.0,0.0,0.0,0.0,72150.0,2479.0,2536.0,0.0,0.0,0.0,0.0,0.0,Fort Washakie,WY,0
"County of Mesa, dba: Mesa County",80016,3075987.0,0.0,1197740.0,461612.0,99333.0,16669.0,43678.0,0.0,36.0,0.0,4735339.0,0.0,0.0,0.0,0.0,391752.0,0.0,925833.0,61213.0,487738.0,0.0,0.0,0.0,0.0,0.0,Grand Junction,CO,0
Fort Peck Tribes,80018,192075.0,190672.0,190912.0,2399.0,0.0,0.0,0.0,0.0,18.0,0.0,576058.0,0.0,0.0,0.0,0.0,2399.0,0.0,115291.0,6914.0,15324.0,0.0,0.0,0.0,0.0,0.0,Wolf Point,MT,0
Bis-Man Transit Board,80019,3260014.0,0.0,179648.0,524340.0,880366.0,0.0,201786.0,0.0,42.0,0.0,3964002.0,0.0,0.0,0.0,0.0,319777.0,0.0,755278.0,50659.0,165026.0,0.0,0.0,0.0,0.0,0.0,Bismarck,ND,0
"The City of Cheyenne, dba: Cheyenne Transit Program",80020,1687849.0,166699.0,21235.0,51434.0,1221954.0,0.0,236100.0,0.0,14.0,0.0,1927217.0,0.0,0.0,0.0,0.0,51434.0,0.0,353964.0,22766.0,70552.0,0.0,0.0,0.0,0.0,0.0,Cheyenne,WY,0
"City of Loveland, Colorado, dba: City of Loveland Transit",80025,1108652.0,0.0,1542149.0,107334.0,1405804.0,0.0,424464.0,0.0,18.0,317037.0,2746246.0,1920683.0,310094.0,110420.0,405049.0,43059.0,69.2,361862.0,21256.0,98616.0,462357.0,616.0,0.0,0.0,69.2,Loveland,CO,21
City of St. George,80026,2173448.0,0.0,15697.0,263530.0,0.0,0.0,0.0,0.0,20.0,0.0,2452675.0,0.0,0.0,0.0,0.0,177663.0,0.0,475606.0,35194.0,303631.0,0.0,0.0,0.0,0.0,0.0,Saint George,UT,0
Cache Valley Transit District,80028,1646475.0,0.0,6739281.0,326451.0,4087507.0,1200000.0,642951.0,0.0,56.0,1318851.0,8712207.0,5405950.0,926973.0,248506.0,2130778.0,0.0,173.6,1265509.0,80735.0,967171.0,3146206.0,614.0,0.0,0.0,173.6,Logan,UT,21
"North Front Range Transportation and Air Quality Planning Council, dba: North Front Range MPO / VanGo",80106,0.0,0.0,204857.0,195207.0,0.0,0.0,69190.0,0.0,32.0,368136.0,400064.0,64827.0,55482.0,6814.0,272941.0,105378.0,0.0,368136.0,7745.0,12462.0,585836.0,254.0,0.0,0.0,0.0,Fort Collins,CO,10
"University of Montana, dba: UDASH",80107,0.0,0.0,0.0,515201.0,1416249.0,838000.0,0.0,0.0,3.0,63342.0,515002.0,228410.0,140305.0,9373.0,136914.0,0.0,9.8,62142.0,5970.0,81853.0,155601.0,153.0,0.0,0.0,9.8,Missoula,MT,10
Denver Regional Council of Governments,80109,326990.0,0.0,0.0,401002.0,0.0,0.0,0.0,0.0,51.0,844915.0,428101.0,135022.0,15491.0,15.0,277573.0,401002.0,0.0,844915.0,17808.0,94026.0,3433790.0,365.0,0.0,0.0,0.0,Denver,CO,10
"Fargo Park District , dba: Valley Senior Services",80110,287900.0,435349.0,187610.0,274202.0,59119.0,0.0,5817.0,0.0,44.0,0.0,1185061.0,0.0,0.0,0.0,0.0,93682.0,0.0,318384.0,26163.0,35535.0,0.0,0.0,0.0,0.0,0.0,Fargo,ND,0
"SESDAC, Inc , dba: Vermillion Public Transit",80112,261243.0,46101.0,12210.0,80547.0,105862.0,0.0,26466.0,0.0,5.0,0.0,400101.0,0.0,0.0,0.0,0.0,63452.0,0.0,36994.0,4288.0,23228.0,0.0,0.0,0.0,0.0,0.0,Vermillion,SD,0
Stark County Council on Aging / Elder Care,80114,494234.0,119204.0,290176.0,159412.0,317419.0,38482.0,7584.0,0.0,13.0,0.0,1063026.0,0.0,0.0,0.0,0.0,151291.0,0.0,160959.0,15848.0,33607.0,0.0,0.0,0.0,0.0,0.0,Dickinson,ND,0
"Prowers County, dba: Prowers Area Transit",80115,281207.0,105448.0,107774.0,12683.0,0.0,0.0,0.0,0.0,5.0,0.0,507112.0,0.0,0.0,0.0,0.0,12683.0,0.0,56407.0,8032.0,17385.0,0.0,0.0,0.0,0.0,0.0,Lamar,CO,0
City of Mitchell - Palace Transit,80116,584760.0,69028.0,92775.0,322667.0,145838.0,0.0,36460.0,0.0,12.0,0.0,1069230.0,0.0,0.0,0.0,0.0,201907.0,0.0,144153.0,16243.0,75103.0,0.0,0.0,0.0,0.0,0.0,Mitchell,SD,0
Garfield County Council on Aging,80117,45461.0,1819.0,15098.0,1478.0,0.0,0.0,0.0,0.0,4.0,0.0,63856.0,0.0,0.0,0.0,0.0,1478.0,0.0,43395.0,1856.0,5497.0,0.0,0.0,0.0,0.0,0.0,Jordan,MT,0
"Wet Mountain Valley Rotary Community Service, Inc., dba: Rotary Service Van",80118,80831.0,0.0,0.0,37077.0,0.0,0.0,0.0,0.0,4.0,0.0,117908.0,0.0,0.0,0.0,0.0,7092.0,0.0,39034.0,1673.0,1379.0,0.0,0.0,0.0,0.0,0.0,Westcliffe,CO,0
"City of Black Hawk, dba: The Black Hawk & Central City Tramway",80119,180244.0,0.0,432674.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,612918.0,0.0,0.0,0.0,0.0,0.0,0.0,63985.0,8918.0,148893.0,0.0,0.0,0.0,0.0,0.0,Black Hawk,CO,0
"South Big Horn Senior Citizens, Inc.",80120,0.0,75049.0,47866.0,480.0,0.0,0.0,0.0,0.0,6.0,0.0,123395.0,0.0,0.0,0.0,0.0,480.0,0.0,32837.0,1844.0,9437.0,0.0,0.0,0.0,0.0,0.0,Greybull,WY,0
Fremont County Association of Governments,80121,666748.0,0.0,329611.0,235601.0,0.0,0.0,88632.0,0.0,38.0,0.0,1231960.0,0.0,0.0,0.0,0.0,235601.0,0.0,311286.0,12274.0,25977.0,0.0,0.0,0.0,0.0,0.0,Riverton,WY,0
Devils Lake Transit  (Senior Meals & Services),80122,173447.0,93739.0,19098.0,47642.0,0.0,0.0,0.0,0.0,6.0,0.0,333926.0,0.0,0.0,0.0,0.0,39256.0,0.0,45363.0,6127.0,22364.0,0.0,0.0,0.0,0.0,0.0,Devils Lake,ND,0
"James River Senior Citizens Center, Inc.",80124,437869.0,180470.0,62361.0,136966.0,0.0,0.0,0.0,0.0,8.0,0.0,817666.0,0.0,0.0,0.0,0.0,107415.0,0.0,129893.0,13084.0,45468.0,0.0,0.0,0.0,0.0,0.0,Jamestown,ND,0
South Central Adult Services,80125,838826.0,427428.0,89161.0,544557.0,531632.0,93824.0,0.0,0.0,94.0,0.0,1899972.0,0.0,0.0,0.0,0.0,196615.0,0.0,880823.0,51630.0,102360.0,0.0,0.0,0.0,0.0,0.0,Valley City,ND,0
City of Aberdeen - Aberdeen Ride Line,80126,438585.0,49070.0,150462.0,168902.0,0.0,0.0,0.0,0.0,13.0,0.0,807019.0,0.0,0.0,0.0,0.0,118533.0,0.0,172700.0,15045.0,63806.0,0.0,0.0,0.0,0.0,0.0,Aberdeen,SD,0
Pembina County Meals and Transportation,80129,131792.0,59546.0,34228.0,22251.0,103840.0,25960.0,0.0,0.0,5.0,0.0,247817.0,0.0,0.0,0.0,0.0,19249.0,0.0,91391.0,4733.0,5671.0,0.0,0.0,0.0,0.0,0.0,Drayton,ND,0
Dickey County Senior Citizens,80130,36914.0,25238.0,0.0,1593.0,0.0,0.0,0.0,0.0,2.0,0.0,63745.0,0.0,0.0,0.0,0.0,1593.0,0.0,8524.0,1691.0,2714.0,0.0,0.0,0.0,0.0,0.0,Ellendale,ND,0
Liberty County Council on Aging,80134,101773.0,14602.0,50969.0,3325.0,32892.0,0.0,5098.0,0.0,3.0,0.0,170669.0,0.0,0.0,0.0,0.0,0.0,0.0,35789.0,3337.0,7263.0,0.0,0.0,0.0,0.0,0.0,Chester,MT,0
Carter County,80135,15668.0,1242.0,13288.0,2983.0,0.0,0.0,0.0,0.0,2.0,0.0,33181.0,0.0,0.0,0.0,0.0,2983.0,0.0,47402.0,1326.0,1173.0,0.0,0.0,0.0,0.0,0.0,Ekalaka,MT,0
"Helena, City of, dba: Capital Transit",80137,764450.0,54191.0,576103.0,115991.0,107010.0,0.0,19518.0,0.0,28.0,0.0,1510735.0,0.0,0.0,0.0,0.0,20491.0,0.0,166101.0,15904.0,33345.0,0.0,0.0,0.0,0.0,0.0,Helena,MT,0
Rosebud Community Hospital,80139,49518.0,2590.0,27900.0,3722.0,0.0,0.0,0.0,0.0,3.0,0.0,83730.0,0.0,0.0,0.0,0.0,3722.0,0.0,38862.0,1766.0,1985.0,0.0,0.0,0.0,0.0,0.0,Forsyth,MT,0
University of Wyoming,80140,1407366.0,0.0,849733.0,3306.0,3860920.0,0.0,1087067.0,0.0,30.0,0.0,2260405.0,0.0,0.0,0.0,0.0,3306.0,0.0,278058.0,35049.0,264116.0,0.0,0.0,0.0,0.0,0.0,Laramie,WY,0
Ravalli County Council on Aging,80142,130102.0,21168.0,100453.0,21770.0,0.0,0.0,0.0,0.0,6.0,0.0,273493.0,0.0,0.0,0.0,0.0,21670.0,0.0,88874.0,6856.0,8786.0,0.0,0.0,0.0,0.0,0.0,Hamilton,MT,0
"Liberty Place, Inc.",80144,115639.0,25941.0,21629.0,12563.0,52263.0,0.0,8101.0,0.0,10.0,0.0,175772.0,0.0,0.0,0.0,0.0,5425.0,0.0,43287.0,1414.0,15578.0,0.0,0.0,0.0,0.0,0.0,Whitehall,MT,0
"Gunnison Valley Transportation Authority, dba: Gunnison Valley RTA",80150,356863.0,0.0,2746337.0,0.0,0.0,2136439.0,333304.0,0.0,24.0,0.0,3103200.0,0.0,0.0,0.0,0.0,0.0,0.0,635069.0,23341.0,260151.0,0.0,0.0,0.0,0.0,0.0,Gunnison,CO,0
Buffalo Senior Center Inc,80151,109094.0,0.0,96247.0,15467.0,4400.0,0.0,1100.0,0.0,5.0,0.0,220808.0,0.0,0.0,0.0,0.0,15467.0,0.0,43859.0,5685.0,10363.0,0.0,0.0,0.0,0.0,0.0,Buffalo,WY,0
Nutrition United,80152,106631.0,73749.0,0.0,16855.0,100324.0,17706.0,0.0,0.0,5.0,0.0,197235.0,0.0,0.0,0.0,0.0,16855.0,0.0,167965.0,5366.0,6467.0,0.0,0.0,0.0,0.0,0.0,Rolla,ND,0
People's Transit,80153,538504.0,54784.0,3061.0,150875.0,69308.0,0.0,17327.0,0.0,14.0,0.0,747224.0,0.0,0.0,0.0,0.0,149541.0,0.0,210780.0,13987.0,61767.0,0.0,0.0,0.0,0.0,0.0,Huron,SD,0
City of Brandon - Brandon City Transit,80154,84517.0,32526.0,0.0,18788.0,0.0,0.0,0.0,0.0,2.0,0.0,135831.0,0.0,0.0,0.0,0.0,18788.0,0.0,24387.0,3131.0,11369.0,0.0,0.0,0.0,0.0,0.0,Brandon,SD,0
"Eagle County Regional Transportation Authority, dba: ECO Transit",80155,4864785.0,490486.0,3616225.0,2533451.0,0.0,0.0,1364517.0,0.0,21.0,0.0,11504947.0,0.0,0.0,0.0,0.0,2008692.0,0.0,1529138.0,79931.0,984115.0,0.0,0.0,0.0,0.0,0.0,Eagle,CO,0
Mountain Express,80159,442423.0,0.0,2135279.0,41566.0,0.0,0.0,84312.0,0.0,11.0,0.0,2619268.0,0.0,0.0,0.0,0.0,0.0,0.0,222498.0,20476.0,535659.0,0.0,0.0,0.0,0.0,0.0,Crested Butte,CO,0
Williston Council for the Aging,80160,327151.0,137446.0,22001.0,137155.0,48450.0,10565.0,0.0,0.0,10.0,0.0,623753.0,0.0,0.0,0.0,0.0,40998.0,0.0,111200.0,12115.0,26033.0,0.0,0.0,0.0,0.0,0.0,Williston,ND,0
"Summit County, dba: Summit Stage",80161,947481.0,0.0,8328318.0,401986.0,0.0,2288036.0,2288036.0,0.0,93.0,0.0,9677785.0,0.0,0.0,0.0,0.0,0.0,0.0,1042163.0,55759.0,1440744.0,0.0,0.0,0.0,0.0,0.0,Breckenridge,CO,0
"East Central Council of Local Governments, dba: Outback Express Total System",80162,101346.0,30235.0,0.0,2816.0,0.0,0.0,0.0,0.0,3.0,0.0,134397.0,0.0,0.0,0.0,0.0,2816.0,0.0,16978.0,978.0,1410.0,0.0,0.0,0.0,0.0,0.0,Stratton,CO,0
Campbell County Senior Citizens Association Inc,80163,191059.0,0.0,127091.0,27663.0,0.0,0.0,0.0,0.0,8.0,0.0,345813.0,0.0,0.0,0.0,0.0,27663.0,0.0,31343.0,1842.0,11369.0,0.0,0.0,0.0,0.0,0.0,Gillette,WY,0
Sanders County Council on Aging,80164,140935.0,17338.0,54172.0,19528.0,0.0,0.0,0.0,0.0,10.0,0.0,231973.0,0.0,0.0,0.0,0.0,19528.0,0.0,117716.0,6579.0,12324.0,0.0,0.0,0.0,0.0,0.0,Hot Springs,MT,0
Urban Transportation District of Dawson County,80166,166312.0,19109.0,93809.0,18388.0,32892.0,0.0,5098.0,0.0,6.0,0.0,297618.0,0.0,0.0,0.0,0.0,18315.0,0.0,57851.0,7057.0,16326.0,0.0,0.0,0.0,0.0,0.0,Glendive,MT,0
Powder River County,80167,88174.0,3715.0,118845.0,16049.0,0.0,0.0,0.0,0.0,6.0,0.0,226783.0,0.0,0.0,0.0,0.0,16049.0,0.0,114633.0,3342.0,2787.0,0.0,0.0,0.0,0.0,0.0,Broadus,MT,0
Dolores County Senior Services,80168,148447.0,58342.0,59617.0,4452.0,0.0,88518.0,0.0,0.0,8.0,0.0,270858.0,0.0,0.0,0.0,0.0,4452.0,0.0,80516.0,3433.0,3909.0,0.0,0.0,0.0,0.0,0.0,Dove Creek,CO,0
"Toole County, dba: Northern Transit Interlocal",80169,229698.0,4691.0,116803.0,3519.0,0.0,0.0,0.0,0.0,7.0,0.0,354711.0,0.0,0.0,0.0,0.0,3519.0,0.0,139721.0,3786.0,15335.0,0.0,0.0,0.0,0.0,0.0,Shelby,MT,0
"Town of Breckenridge, dba: Free Ride Transit System",80170,4299316.0,0.0,2159607.0,9245.0,0.0,103906.0,25976.0,0.0,10.0,0.0,6468168.0,0.0,0.0,0.0,0.0,0.0,0.0,316203.0,57077.0,862602.0,0.0,0.0,0.0,0.0,0.0,0,CO,0
CCTS d/b/a River Cities Transit,80171,2856328.0,153576.0,739238.0,556709.0,534869.0,0.0,133717.0,0.0,48.0,0.0,4305851.0,0.0,0.0,0.0,0.0,394950.0,0.0,865644.0,60491.0,271918.0,0.0,0.0,0.0,0.0,0.0,Pierre,SD,0
"Lincoln County Transportation Service, Inc.",80172,143248.0,21184.0,59236.0,33736.0,0.0,0.0,0.0,0.0,9.0,0.0,257404.0,0.0,0.0,0.0,0.0,33436.0,0.0,109839.0,5935.0,7644.0,0.0,0.0,0.0,0.0,0.0,Libby,MT,0
"Mineral County Pioneer Council, Inc.",80173,3704.0,3402.0,1615.0,3860.0,0.0,0.0,0.0,0.0,4.0,0.0,12581.0,0.0,0.0,0.0,0.0,3860.0,0.0,17447.0,764.0,1791.0,0.0,0.0,0.0,0.0,0.0,Superior,MT,0
Butte Silver Bow Transit,80174,774742.0,76907.0,505613.0,0.0,140688.0,0.0,23809.0,0.0,22.0,0.0,1357262.0,0.0,0.0,0.0,0.0,0.0,0.0,218628.0,17002.0,149550.0,0.0,0.0,0.0,0.0,0.0,Butte,MT,0
"City of Burlington, dba: Outback Express",80179,18476.0,0.0,9326.0,2537.0,0.0,0.0,0.0,0.0,1.0,0.0,30339.0,0.0,0.0,0.0,0.0,2537.0,0.0,14759.0,1040.0,10981.0,0.0,0.0,0.0,0.0,0.0,Burlington,CO,0
Custer County Council on Aging,80181,226828.0,2413.0,135826.0,67687.0,47454.0,0.0,7355.0,0.0,4.0,0.0,432754.0,0.0,0.0,0.0,0.0,17772.0,0.0,75872.0,6334.0,14499.0,0.0,0.0,0.0,0.0,0.0,Miles City,MT,0
Rural Office of Community Services,80182,877948.0,66053.0,155707.0,444542.0,234874.0,0.0,58719.0,0.0,33.0,0.0,1544250.0,0.0,0.0,0.0,0.0,384563.0,0.0,662181.0,37689.0,73156.0,0.0,0.0,0.0,0.0,0.0,Wagner,SD,0
Valley County Transit,80183,411244.0,46687.0,252337.0,175082.0,0.0,0.0,0.0,0.0,5.0,0.0,885350.0,0.0,0.0,0.0,0.0,36722.0,0.0,99162.0,13971.0,39719.0,0.0,0.0,0.0,0.0,0.0,Glasgow,MT,0
Lake County Council on Aging,80184,60319.0,8916.0,37488.0,8040.0,32892.0,0.0,5098.0,0.0,18.0,0.0,114763.0,0.0,0.0,0.0,0.0,8040.0,0.0,55382.0,3360.0,3394.0,0.0,0.0,0.0,0.0,0.0,Ronan,MT,0
Riverton Senior Center,80185,0.0,104522.0,59863.0,20933.0,0.0,0.0,0.0,0.0,4.0,0.0,185318.0,0.0,0.0,0.0,0.0,20933.0,0.0,36634.0,5479.0,11027.0,0.0,0.0,0.0,0.0,0.0,Riverton,WY,0
"Steamboat Springs, City of , dba: Steamboat Springs Transit",80186,1634444.0,124656.0,2456791.0,456845.0,0.0,0.0,426853.0,0.0,88.0,0.0,4672736.0,0.0,0.0,0.0,0.0,139941.0,0.0,560117.0,41060.0,934937.0,0.0,0.0,0.0,0.0,0.0,Steamboat Springs,CO,0
Brookings Area Transit Authority,80187,1125450.0,125300.0,10983.0,448042.0,72050.0,0.0,18013.0,0.0,24.0,0.0,1709775.0,0.0,0.0,0.0,0.0,306761.0,0.0,404540.0,31541.0,142394.0,0.0,0.0,0.0,0.0,0.0,Brookings,SD,0
Southern Teton Area Rapid Transit,80188,3328937.0,0.0,1881570.0,392812.0,0.0,0.0,0.0,0.0,56.0,0.0,5603319.0,0.0,0.0,0.0,0.0,392812.0,0.0,979979.0,57176.0,718985.0,0.0,0.0,0.0,0.0,0.0,Jackson,WY,0
"Southern Colorado Community Action Agency, Inc.",80189,1421664.0,822.0,0.0,138633.0,0.0,0.0,0.0,0.0,33.0,0.0,1561119.0,0.0,0.0,0.0,0.0,113445.0,0.0,320420.0,10798.0,18146.0,0.0,0.0,0.0,0.0,0.0,Ignacio,CO,0
